date,org,total_inflow,total_outflow,inc_commitment,received,out_commitment,disbursed,expenditure,net_flow_total,net_cash
2020-01-06,ActionAid UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,ActionAid UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,ActionAid UK,0.0,242758.5552,0.0,0.0,0.0,242758.5552,0.0,-242758.5552,-242758.5552
2020-01-27,ActionAid UK,0.0,242758.5552,0.0,0.0,0.0,242758.5552,0.0,-242758.5552,-242758.5552
2020-02-03,ActionAid UK,0.0,242758.5552,0.0,0.0,0.0,242758.5552,0.0,-242758.5552,-242758.5552
2020-02-10,ActionAid UK,0.0,242758.5552,0.0,0.0,0.0,242758.5552,0.0,-242758.5552,-242758.5552
2020-02-17,ActionAid UK,0.0,242758.5552,0.0,0.0,0.0,242758.5552,0.0,-242758.5552,-242758.5552
2020-02-24,ActionAid UK,0.0,242758.5552,0.0,0.0,0.0,242758.5552,0.0,-242758.5552,-242758.5552
2020-03-02,ActionAid UK,0.0,242758.5552,0.0,0.0,0.0,242758.5552,0.0,-242758.5552,-242758.5552
2020-03-09,ActionAid UK,0.0,242758.5552,0.0,0.0,0.0,242758.5552,0.0,-242758.5552,-242758.5552
2020-03-16,ActionAid UK,0.0,242758.5552,0.0,0.0,0.0,242758.5552,0.0,-242758.5552,-242758.5552
2020-03-23,ActionAid UK,0.0,242758.5552,0.0,0.0,0.0,242758.5552,0.0,-242758.5552,-242758.5552
2020-03-30,ActionAid UK,332297.6922,261802.85220000002,0.0,332297.6922,0.0,242758.5552,19044.297,70494.83999999997,70494.84
2020-04-06,ActionAid UK,332297.6922,591487.2042,0.0,332297.6922,0.0,572442.9072,19044.297,-259189.51200000005,-259189.51200000002
2020-04-13,ActionAid UK,332297.6922,591487.2042,0.0,332297.6922,0.0,572442.9072,19044.297,-259189.51200000005,-259189.51200000002
2020-04-20,ActionAid UK,332297.6922,591487.2042,0.0,332297.6922,0.0,572442.9072,19044.297,-259189.51200000005,-259189.51200000002
2020-04-27,ActionAid UK,3434926.2542000003,707548.30468,3102628.562,332297.6922,116061.10048,572442.9072,19044.297,2727377.9495200003,-259189.51200000002
2020-05-04,ActionAid UK,3434926.2542000003,920786.294032,3102628.562,332297.6922,212353.53507999997,689388.4619519999,19044.297,2514139.9601680003,-376135.06675199996
2020-05-11,ActionAid UK,3556633.1026000003,920786.294032,3102628.562,454004.54059999995,212353.53507999997,689388.4619519999,19044.297,2635846.8085680003,-254428.21835199997
2020-05-18,ActionAid UK,3556633.1026000003,920786.294032,3102628.562,454004.54059999995,212353.53507999997,689388.4619519999,19044.297,2635846.8085680003,-254428.21835199997
2020-05-25,ActionAid UK,3556633.1026000003,920786.294032,3102628.562,454004.54059999995,212353.53507999997,689388.4619519999,19044.297,2635846.8085680003,-254428.21835199997
2020-06-01,ActionAid UK,3556633.1026000003,920786.294032,3102628.562,454004.54059999995,212353.53507999997,689388.4619519999,19044.297,2635846.8085680003,-254428.21835199997
2020-06-08,ActionAid UK,4767001.102599999,920786.294032,3102628.562,1664372.5406,212353.53507999997,689388.4619519999,19044.297,3846214.808567999,955939.781648
2020-06-15,ActionAid UK,4969511.144199999,941171.179024,3102628.562,1866882.5822,212353.53507999997,689388.4619519999,39429.181992,4028339.9651759993,1138064.9382560002
2020-06-22,ActionAid UK,4969511.144199999,1250221.1790239997,3102628.562,1866882.5822,212353.53507999997,998438.461952,39429.181992,3719289.9651759993,829014.938256
2020-06-29,ActionAid UK,4969511.144199999,1250221.1790239997,3102628.562,1866882.5822,212353.53507999997,998438.461952,39429.181992,3719289.9651759993,829014.938256
2020-07-06,ActionAid UK,4969511.144199999,1250221.1790239997,3102628.562,1866882.5822,212353.53507999997,998438.461952,39429.181992,3719289.9651759993,829014.938256
2020-07-13,ActionAid UK,4969511.144199999,1974084.4492239996,3102628.562,1866882.5822,212353.53507999997,1722301.7321519998,39429.181992,2995426.694975999,105151.66805600023
2020-07-20,ActionAid UK,4969511.144199999,2154066.363672,3102628.562,1866882.5822,212353.53507999997,1902283.6465999999,39429.181992,2815444.780527999,-74830.2463919998
