...1,iati_identifier,reporting_org_text,reporting_org_ref,reporting_org_type,value_USD,transaction_date,transaction_type_code,transaction_type,provider_text,provider_ref,provider_type,receiver_text,receiver_ref,receiver_type,finance_type,covid_relevant,humanitarian,covid_matches,sector,country_region,value_USD_proportionate,id
17056,GB-CHC-274467-102107,ActionAid UK,GB-CHC-274467,21,121588.562,2020-04-24,11,Incoming Commitment,Christian Aid,GB-CHC-1105851,NA,ActionAid UK,GB-CHC-274467,21,110,MAYBE,NA,"('title', 'description', 'GLIDE', 'HRP')",72010,MM,121588.562,17056
17057,GB-CHC-274467-102107,ActionAid UK,GB-CHC-274467,21,121706.8484,2020-05-06,1,Incoming Funds,Christian Aid,GB-CHC-1105851,NA,ActionAid UK,GB-CHC-274467,21,110,MAYBE,NA,"('title', 'description', 'GLIDE', 'HRP')",72010,MM,121706.8484,17057
17058,GB-CHC-274467-102107,ActionAid UK,GB-CHC-274467,21,116061.10048,2020-04-24,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,ActionAid Myanmar,ActionAid Myanmar,22,110,MAYBE,NA,"('title', 'description', 'GLIDE', 'HRP')",72010,MM,116061.10048,17058
17059,GB-CHC-274467-102107,ActionAid UK,GB-CHC-274467,21,116945.554752,2020-04-29,3,Disbursement,ActionAid UK,GB-CHC-274467,NA,ActionAid Myanmar,ActionAid Myanmar,22,110,MAYBE,NA,"('title', 'description', 'GLIDE', 'HRP')",72010,MM,116945.554752,17059
17060,GB-CHC-274467-102112,ActionAid UK,GB-CHC-274467,21,472788,2020-07-31,1,Incoming Funds,Unilever,Unilever,NA,ActionAid UK,GB-CHC-274467,21,110,MAYBE,NA,"('title', 'description', 'GLIDE', 'HRP')",72010,KE,236394,17060
17061,GB-CHC-274467-102112,ActionAid UK,GB-CHC-274467,21,472788,2020-07-31,1,Incoming Funds,Unilever,Unilever,NA,ActionAid UK,GB-CHC-274467,21,110,MAYBE,NA,"('title', 'description', 'GLIDE', 'HRP')",72010,NP,236394,17061
17062,GB-CHC-274467-102112,ActionAid UK,GB-CHC-274467,21,361931.6351,2020-07-08,3,Disbursement,ActionAid UK,GB-CHC-274467,NA,ActionAid Kenya,ActionAid Kenya,NA,110,MAYBE,NA,"('title', 'description', 'GLIDE', 'HRP')",72010,KE,180965.81755,17062
17063,GB-CHC-274467-102112,ActionAid UK,GB-CHC-274467,21,361931.6351,2020-07-08,3,Disbursement,ActionAid UK,GB-CHC-274467,NA,ActionAid Kenya,ActionAid Kenya,NA,110,MAYBE,NA,"('title', 'description', 'GLIDE', 'HRP')",72010,NP,180965.81755,17063
17064,GB-CHC-274467-102112,ActionAid UK,GB-CHC-274467,21,154525,2020-06-19,3,Disbursement,ActionAid UK,GB-CHC-274467,NA,ActionAid Nepal,ActionAid Nepal,22,110,MAYBE,NA,"('title', 'description', 'GLIDE', 'HRP')",72010,KE,77262.5,17064
17065,GB-CHC-274467-102112,ActionAid UK,GB-CHC-274467,21,154525,2020-06-19,3,Disbursement,ActionAid UK,GB-CHC-274467,NA,ActionAid Nepal,ActionAid Nepal,22,110,MAYBE,NA,"('title', 'description', 'GLIDE', 'HRP')",72010,NP,77262.5,17065
17066,GB-CHC-274467-102112,ActionAid UK,GB-CHC-274467,21,102394.4409,2020-10-31,4,Expenditure,NA,NA,NA,MULTIPLE,MULTIPLE,MULTIPLE,110,MAYBE,NA,"('title', 'description', 'GLIDE', 'HRP')",72010,KE,51197.22044999999,17066
17067,GB-CHC-274467-102112,ActionAid UK,GB-CHC-274467,21,102394.4409,2020-10-31,4,Expenditure,NA,NA,NA,MULTIPLE,MULTIPLE,MULTIPLE,110,MAYBE,NA,"('title', 'description', 'GLIDE', 'HRP')",72010,NP,51197.22044999999,17067
17068,GB-CHC-274467-102112,ActionAid UK,GB-CHC-274467,21,1490520,2020-04-27,11,Incoming Commitment,Unilever,Unilever,NA,ActionAid UK,GB-CHC-274467,NA,110,MAYBE,NA,"('title', 'description', 'GLIDE', 'HRP')",72010,KE,745260,17068
17069,GB-CHC-274467-102112,ActionAid UK,GB-CHC-274467,21,1490520,2020-04-27,11,Incoming Commitment,Unilever,Unilever,NA,ActionAid UK,GB-CHC-274467,NA,110,MAYBE,NA,"('title', 'description', 'GLIDE', 'HRP')",72010,NP,745260,17069
17070,GB-CHC-274467-102112,ActionAid UK,GB-CHC-274467,21,605184,2020-06-04,1,Incoming Funds,Unilever,Unilever,NA,ActionAid UK,GB-CHC-274467,21,110,MAYBE,NA,"('title', 'description', 'GLIDE', 'HRP')",72010,KE,302592,17070
17071,GB-CHC-274467-102112,ActionAid UK,GB-CHC-274467,21,605184,2020-06-04,1,Incoming Funds,Unilever,Unilever,NA,ActionAid UK,GB-CHC-274467,21,110,MAYBE,NA,"('title', 'description', 'GLIDE', 'HRP')",72010,NP,302592,17071
17072,GB-CHC-274467-102161,ActionAid UK,GB-CHC-274467,21,47170.0794,2020-09-09,11,Incoming Commitment,AAUK Trusts and Foundations,AAUK Trusts and Foundations,NA,ActionAid UK,GB-CHC-274467,21,110,MAYBE,NA,"('title', 'description', 'transaction-description')",15180,SO,42453.07146,17072
17073,GB-CHC-274467-102161,ActionAid UK,GB-CHC-274467,21,47170.0794,2020-09-09,11,Incoming Commitment,AAUK Trusts and Foundations,AAUK Trusts and Foundations,NA,ActionAid UK,GB-CHC-274467,21,110,MAYBE,NA,"('title', 'description', 'transaction-description')",72010,SO,4717.00794,17073
17074,GB-CHC-274467-102161,ActionAid UK,GB-CHC-274467,21,32567.8806,2020-10-30,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,ActionAid Somaliand,ActionAid Somaliand,22,110,MAYBE,NA,"('title', 'description', 'transaction-description')",15180,SO,29311.09254,17074
17075,GB-CHC-274467-102161,ActionAid UK,GB-CHC-274467,21,32567.8806,2020-10-30,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,ActionAid Somaliand,ActionAid Somaliand,22,110,MAYBE,NA,"('title', 'description', 'transaction-description')",72010,SO,3256.78806,17075
17076,GB-CHC-274467-102161,ActionAid UK,GB-CHC-274467,21,8168.024799999999,2020-11-10,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,ActionAid Somaliland,ActionAid Somaliland,NA,110,YES,NA,"('title', 'description', 'transaction-description')",15180,SO,7351.22232,17076
17077,GB-CHC-274467-102161,ActionAid UK,GB-CHC-274467,21,8168.024799999999,2020-11-10,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,ActionAid Somaliland,ActionAid Somaliland,NA,110,YES,NA,"('title', 'description', 'transaction-description')",72010,SO,816.80248,17077
17078,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,122458.055,2020-09-02,3,Disbursement,ActionAid UK,GB-CHC-274467,NA,ActionAid DRC,ActionAid DRC,22,110,MAYBE,NA,"('description', 'HRP')",72010,AF,30614.51375,17078
17079,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,122458.055,2020-09-02,3,Disbursement,ActionAid UK,GB-CHC-274467,NA,ActionAid DRC,ActionAid DRC,22,110,MAYBE,NA,"('description', 'HRP')",72010,BD,30614.51375,17079
17080,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,122458.055,2020-09-02,3,Disbursement,ActionAid UK,GB-CHC-274467,NA,ActionAid DRC,ActionAid DRC,22,110,MAYBE,NA,"('description', 'HRP')",72010,CD,30614.51375,17080
17081,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,122458.055,2020-09-02,3,Disbursement,ActionAid UK,GB-CHC-274467,NA,ActionAid DRC,ActionAid DRC,22,110,MAYBE,NA,"('description', 'HRP')",72010,SO,30614.51375,17081
17082,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,156276,2020-10-14,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,AAB,BD-NAB-0210,NA,110,MAYBE,NA,"('description', 'HRP')",72010,AF,39069,17082
17083,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,156276,2020-10-14,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,AAB,BD-NAB-0210,NA,110,MAYBE,NA,"('description', 'HRP')",72010,BD,39069,17083
17084,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,156276,2020-10-14,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,AAB,BD-NAB-0210,NA,110,MAYBE,NA,"('description', 'HRP')",72010,CD,39069,17084
17085,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,156276,2020-10-14,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,AAB,BD-NAB-0210,NA,110,MAYBE,NA,"('description', 'HRP')",72010,SO,39069,17085
17086,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,158319.7011,2020-08-19,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,ActionAid DRC,ActionAid DRC,22,110,MAYBE,NA,"('description', 'HRP')",72010,AF,39579.925275,17086
17087,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,158319.7011,2020-08-19,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,ActionAid DRC,ActionAid DRC,22,110,MAYBE,NA,"('description', 'HRP')",72010,BD,39579.925275,17087
17088,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,158319.7011,2020-08-19,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,ActionAid DRC,ActionAid DRC,22,110,MAYBE,NA,"('description', 'HRP')",72010,CD,39579.925275,17088
17089,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,158319.7011,2020-08-19,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,ActionAid DRC,ActionAid DRC,22,110,MAYBE,NA,"('description', 'HRP')",72010,SO,39579.925275,17089
17090,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,25842,2020-09-30,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,AAI,ActionAid International,21,110,MAYBE,NA,"('description', 'HRP')",72010,AF,6460.5,17090
17091,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,25842,2020-09-30,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,AAI,ActionAid International,21,110,MAYBE,NA,"('description', 'HRP')",72010,BD,6460.5,17091
17092,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,25842,2020-09-30,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,AAI,ActionAid International,21,110,MAYBE,NA,"('description', 'HRP')",72010,CD,6460.5,17092
17093,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,25842,2020-09-30,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,AAI,ActionAid International,21,110,MAYBE,NA,"('description', 'HRP')",72010,SO,6460.5,17093
17094,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,155052,2020-09-30,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,ActionAid Somaliland,ActionAid Somaliland,NA,110,MAYBE,NA,"('description', 'HRP')",72010,AF,38763,17094
17095,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,155052,2020-09-30,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,ActionAid Somaliland,ActionAid Somaliland,NA,110,MAYBE,NA,"('description', 'HRP')",72010,BD,38763,17095
17096,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,155052,2020-09-30,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,ActionAid Somaliland,ActionAid Somaliland,NA,110,MAYBE,NA,"('description', 'HRP')",72010,CD,38763,17096
17097,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,155052,2020-09-30,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,ActionAid Somaliland,ActionAid Somaliland,NA,110,MAYBE,NA,"('description', 'HRP')",72010,SO,38763,17097
17098,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,155151.4917,2020-09-30,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,AA Afghanistan,AA Afghanistan,22,110,MAYBE,NA,"('description', 'HRP')",72010,AF,38787.872925,17098
17099,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,155151.4917,2020-09-30,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,AA Afghanistan,AA Afghanistan,22,110,MAYBE,NA,"('description', 'HRP')",72010,BD,38787.872925,17099
17100,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,155151.4917,2020-09-30,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,AA Afghanistan,AA Afghanistan,22,110,MAYBE,NA,"('description', 'HRP')",72010,CD,38787.872925,17100
17101,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,155151.4917,2020-09-30,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,AA Afghanistan,AA Afghanistan,22,110,MAYBE,NA,"('description', 'HRP')",72010,SO,38787.872925,17101
17102,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,796775.5499999999,2020-09-23,11,Incoming Commitment,Disasters Emergency Committee,GB-CHC-1062638,NA,ActionAid UK,GB-CHC-274467,21,110,MAYBE,NA,"('description', 'HRP')",72010,AF,199193.8875,17102
17103,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,796775.5499999999,2020-09-23,11,Incoming Commitment,Disasters Emergency Committee,GB-CHC-1062638,NA,ActionAid UK,GB-CHC-274467,21,110,MAYBE,NA,"('description', 'HRP')",72010,BD,199193.8875,17103
17104,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,796775.5499999999,2020-09-23,11,Incoming Commitment,Disasters Emergency Committee,GB-CHC-1062638,NA,ActionAid UK,GB-CHC-274467,21,110,MAYBE,NA,"('description', 'HRP')",72010,CD,199193.8875,17104
17105,GB-CHC-274467-102178,ActionAid UK,GB-CHC-274467,21,796775.5499999999,2020-09-23,11,Incoming Commitment,Disasters Emergency Committee,GB-CHC-1062638,NA,ActionAid UK,GB-CHC-274467,21,110,MAYBE,NA,"('description', 'HRP')",72010,SO,199193.8875,17105
17106,GB-CHC-274467-205210-225,ActionAid UK,GB-CHC-274467,21,166148.8461,2020-03-25,1,Incoming Funds,MannionDanniels,GB-COH-04105827,NA,ActionAid UK,GB-CHC-274467,21,110,MAYBE,NA,"('description', 'transaction-description')",15180,KE,162825.869178,17106
17107,GB-CHC-274467-205210-225,ActionAid UK,GB-CHC-274467,21,166148.8461,2020-03-25,1,Incoming Funds,MannionDanniels,GB-COH-04105827,NA,ActionAid UK,GB-CHC-274467,21,110,MAYBE,NA,"('description', 'transaction-description')",72010,KE,3322.976922,17107
17108,GB-CHC-274467-205210-225,ActionAid UK,GB-CHC-274467,21,121379.2776,2020-01-16,3,Disbursement,ActionAid UK,GB-CHC-274467,NA,ActionAid International Kenya,KE-NCB-OP/218/051/924/84,21,110,MAYBE,NA,"('description', 'transaction-description')",15180,KE,118951.692048,17108
17109,GB-CHC-274467-205210-225,ActionAid UK,GB-CHC-274467,21,121379.2776,2020-01-16,3,Disbursement,ActionAid UK,GB-CHC-274467,NA,ActionAid International Kenya,KE-NCB-OP/218/051/924/84,21,110,MAYBE,NA,"('description', 'transaction-description')",72010,KE,2427.585552,17109
17110,GB-CHC-274467-205210-225,ActionAid UK,GB-CHC-274467,21,164842.176,2020-04-02,3,Disbursement,ActionAid UK,GB-CHC-274467,NA,ActionAid International Kenya,KE-NCB-OP/218/051/924/84,21,110,MAYBE,NA,"('description', 'transaction-description')",15180,KE,161545.33248,17110
17111,GB-CHC-274467-205210-225,ActionAid UK,GB-CHC-274467,21,164842.176,2020-04-02,3,Disbursement,ActionAid UK,GB-CHC-274467,NA,ActionAid International Kenya,KE-NCB-OP/218/051/924/84,21,110,MAYBE,NA,"('description', 'transaction-description')",72010,KE,3296.843519999999,17111
17112,GB-CHC-274467-205210-225,ActionAid UK,GB-CHC-274467,21,9522.1485,2020-03-25,4,Expenditure,ActionAid UK,GB-CHC-274467,NA,ActionAid International Kenya,KE-NCB-OP/218/051/924/84,21,110,MAYBE,NA,"('description', 'transaction-description')",15180,KE,9331.70553,17112
17113,GB-CHC-274467-205210-225,ActionAid UK,GB-CHC-274467,21,9522.1485,2020-03-25,4,Expenditure,ActionAid UK,GB-CHC-274467,NA,ActionAid International Kenya,KE-NCB-OP/218/051/924/84,21,110,MAYBE,NA,"('description', 'transaction-description')",72010,KE,190.44297,17113
17114,GB-CHC-274467-205210-225,ActionAid UK,GB-CHC-274467,21,89990.957224,2020-07-15,3,Disbursement,ActionAid UK,GB-CHC-274467,NA,ActionAid International Kenya,KE-NCB-OP/218/051/924/84,21,110,MAYBE,NA,"('description', 'transaction-description')",15180,KE,88191.13807952,17114
17115,GB-CHC-274467-205210-225,ActionAid UK,GB-CHC-274467,21,89990.957224,2020-07-15,3,Disbursement,ActionAid UK,GB-CHC-274467,NA,ActionAid International Kenya,KE-NCB-OP/218/051/924/84,21,110,MAYBE,NA,"('description', 'transaction-description')",72010,KE,1799.81914448,17115
17118,GB-CHC-274467-205210-225,ActionAid UK,GB-CHC-274467,21,10192.442496,2020-06-09,4,Expenditure,ActionAid UK,GB-CHC-274467,NA,ActionAid International Kenya,KE-NCB-OP/218/051/924/84,21,110,MAYBE,NA,"('description', 'transaction-description')",15180,KE,9988.593646079999,17118
17119,GB-CHC-274467-205210-225,ActionAid UK,GB-CHC-274467,21,10192.442496,2020-06-09,4,Expenditure,ActionAid UK,GB-CHC-274467,NA,ActionAid International Kenya,KE-NCB-OP/218/051/924/84,21,110,MAYBE,NA,"('description', 'transaction-description')",72010,KE,203.84884992,17119
17120,GB-CHC-274467-205210-225,ActionAid UK,GB-CHC-274467,21,101255.0208,2020-06-09,1,Incoming Funds,MannionDanniels,GB-COH-04105827,NA,ActionAid UK,GB-CHC-274467,21,110,MAYBE,NA,"('description', 'transaction-description')",15180,KE,99229.92038400001,17120
17121,GB-CHC-274467-205210-225,ActionAid UK,GB-CHC-274467,21,101255.0208,2020-06-09,1,Incoming Funds,MannionDanniels,GB-COH-04105827,NA,ActionAid UK,GB-CHC-274467,21,110,MAYBE,NA,"('description', 'transaction-description')",72010,KE,2025.100416,17121
17122,GB-CHC-274467-205210-225,ActionAid UK,GB-CHC-274467,21,117422.281686,2020-12-15,1,Incoming Funds,MannionDanniels,GB-COH-04105827,NA,ActionAid UK,GB-CHC-274467,21,110,MAYBE,NA,"('description', 'transaction-description')",15180,KE,115073.83605228,17122
17123,GB-CHC-274467-205210-225,ActionAid UK,GB-CHC-274467,21,117422.281686,2020-12-15,1,Incoming Funds,MannionDanniels,GB-COH-04105827,NA,ActionAid UK,GB-CHC-274467,21,110,MAYBE,NA,"('description', 'transaction-description')",72010,KE,2348.44563372,17123
17126,GB-CHC-274467-205210-225,ActionAid UK,GB-CHC-274467,21,12852.361536,2020-12-15,4,Expenditure,ActionAid UK,GB-CHC-274467,NA,ActionAid International Kenya,KE-NCB-OP/218/051/924/84,21,110,MAYBE,NA,"('description', 'transaction-description')",15180,KE,12595.31430528,17126
17127,GB-CHC-274467-205210-225,ActionAid UK,GB-CHC-274467,21,12852.361536,2020-12-15,4,Expenditure,ActionAid UK,GB-CHC-274467,NA,ActionAid International Kenya,KE-NCB-OP/218/051/924/84,21,110,MAYBE,NA,"('description', 'transaction-description')",72010,KE,257.04723072,17127
17128,GB-CHC-274467-205210-225,ActionAid UK,GB-CHC-274467,21,48146.2173,2020-04-29,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,ActionAid International Kenya,KE-NCB-OP/218/051/924/84,21,110,YES,NA,"('description', 'transaction-description')",15180,KE,47183.29295399999,17128
17129,GB-CHC-274467-205210-225,ActionAid UK,GB-CHC-274467,21,48146.2173,2020-04-29,2,Outgoing Commitment,ActionAid UK,GB-CHC-274467,NA,ActionAid International Kenya,KE-NCB-OP/218/051/924/84,21,110,YES,NA,"('description', 'transaction-description')",72010,KE,962.9243459999999,17129
17150,GB-CHC-274467-205210-225,ActionAid UK,GB-CHC-274467,21,87905.362482,2020-09-15,1,Incoming Funds,MannionDanniels,GB-COH-04105827,NA,ActionAid UK,GB-CHC-274467,21,110,MAYBE,NA,"('description', 'transaction-description')",15180,KE,86147.25523236,17150
