...1,iati_identifier,reporting_org_text,reporting_org_ref,reporting_org_type,value_USD,transaction_date,transaction_type_code,transaction_type,provider_text,provider_ref,provider_type,receiver_text,receiver_ref,receiver_type,finance_type,covid_relevant,humanitarian,covid_matches,sector,country_region,value_USD_proportionate,id
13805,DK-CVR-20699310-DF211215,Danish Refugee Council,DK-CVR-20699310,21,179515.443218622,2020-09-01,1,Incoming Funds,"Foreign, Commonwealth and Development Office",GB-GOV-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,YES,NA,"('transaction-description',)",72050,TZ,179515.443218622,13805
13810,DK-CVR-20699310-DF212197,Danish Refugee Council,DK-CVR-20699310,21,90301.8844,2020-07-08,3,Disbursement,Danish Refugee Council,DK-CVR-20699310,NA,Handicap International UK <i> (Atlas Logistique) </i>,FR-RCS-519655997,21,110,MAYBE,NA,"('title',)",12250,998,90301.8844,13810
13811,DK-CVR-20699310-DF212197,Danish Refugee Council,DK-CVR-20699310,21,97243.619,2020-06-18,3,Disbursement,Danish Refugee Council,DK-CVR-20699310,NA,Islamic Relief Worldwide,GB-CHC-328158,21,110,MAYBE,NA,"('title',)",12250,998,97243.619,13811
13812,DK-CVR-20699310-DF212197,Danish Refugee Council,DK-CVR-20699310,21,67961.02500000001,2020-06-18,3,Disbursement,Danish Refugee Council,DK-CVR-20699310,NA,CDAC Network,GB-CHC-1178168,21,110,MAYBE,NA,"('title',)",12250,998,67961.02500000001,13812
13813,DK-CVR-20699310-DF212197,Danish Refugee Council,DK-CVR-20699310,21,99235.19429999999,2020-06-29,3,Disbursement,Danish Refugee Council,DK-CVR-20699310,NA,RedR UK,RedR UK,21,110,MAYBE,NA,"('title',)",12250,998,99235.1943,13813
13814,DK-CVR-20699310-DF212197,Danish Refugee Council,DK-CVR-20699310,21,265041,2020-07-16,3,Disbursement,Danish Refugee Council,DK-CVR-20699310,NA,Norwegian Refugee Council,NO-BRC-977538319,21,110,MAYBE,NA,"('title',)",12250,998,265041,13814
13815,DK-CVR-20699310-DF212197,Danish Refugee Council,DK-CVR-20699310,21,100765.9584,2020-06-09,3,Disbursement,Danish Refugee Council,DK-CVR-20699310,NA,Ground Truth Solutions (GTS),Ground Truth Solutions (GTS),21,110,MAYBE,NA,"('title',)",12250,998,100765.9584,13815
13816,DK-CVR-20699310-DF212197,Danish Refugee Council,DK-CVR-20699310,21,63497.6146,2020-07-13,3,Disbursement,Danish Refugee Council,DK-CVR-20699310,NA,MapAction,GB-CHC-1126727,21,110,MAYBE,NA,"('title',)",12250,998,63497.6146,13816
13817,DK-CVR-20699310-DF212197,Danish Refugee Council,DK-CVR-20699310,21,500940.1394066314,2020-06-22,1,Incoming Funds,"Foreign, Commonwealth and Development Office",GB-GOV-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('title',)",12250,998,500940.1394066315,13817
13818,DK-CVR-20699310-DF221251,Danish Refugee Council,DK-CVR-20699310,21,863381.4912557682,2020-04-03,4,Expenditure,Danish Refugee Council,DK-CVR-20699310,NA,MULTIPLE,MULTIPLE,MULTIPLE,110,MAYBE,NA,"('transaction-description',)",15190,ET,863381.4912557682,13818
13819,DK-CVR-20699310-DF221251,Danish Refugee Council,DK-CVR-20699310,21,623788.3082158065,2020-05-06,3,Disbursement,Danish Refugee Council,DK-CVR-20699310,NA,BBC Media Action,GB-CHC-1076235,21,110,MAYBE,NA,"('transaction-description',)",15190,ET,623788.3082158065,13819
13820,DK-CVR-20699310-DF221251,Danish Refugee Council,DK-CVR-20699310,21,175437.8459599942,2020-05-01,3,Disbursement,Danish Refugee Council,DK-CVR-20699310,NA,Save The Children UK,GB-COH-213890,21,110,MAYBE,NA,"('transaction-description',)",15190,ET,175437.8459599942,13820
13825,DK-CVR-20699310-DF221251,Danish Refugee Council,DK-CVR-20699310,21,986688.3298229954,2020-06-30,4,Expenditure,Danish Refugee Council,DK-CVR-20699310,NA,MULTIPLE,MULTIPLE,MULTIPLE,110,MAYBE,NA,"('transaction-description',)",15190,ET,986688.3298229954,13825
13826,DK-CVR-20699310-DF221251,Danish Refugee Council,DK-CVR-20699310,21,221982.534501,2020-09-30,1,Incoming Funds,"Foreign, Commonwealth and Development Office",GB-GOV-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('transaction-description',)",15190,ET,221982.534501,13826
13828,DK-CVR-20699310-DF221251,Danish Refugee Council,DK-CVR-20699310,21,221982.534501,2020-09-30,4,Expenditure,Danish Refugee Council,DK-CVR-20699310,NA,MULTIPLE,MULTIPLE,MULTIPLE,110,YES,NA,"('transaction-description',)",15190,ET,221982.534501,13828
13829,DK-CVR-20699310-DF221251,Danish Refugee Council,DK-CVR-20699310,21,974515.4753250001,2020-06-30,1,Incoming Funds,"Foreign, Commonwealth and Development Office",GB-GOV-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('transaction-description',)",15190,ET,974515.4753250001,13829
13830,DK-CVR-20699310-DF221251,Danish Refugee Council,DK-CVR-20699310,21,810131.9016000001,2020-04-03,1,Incoming Funds,"Foreign, Commonwealth and Development Office",GB-GOV-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('transaction-description',)",15190,ET,810131.9016000001,13830
13831,DK-CVR-20699310-DK19938,Danish Refugee Council,DK-CVR-20699310,21,23686509.05268768,2020-02-03,13,Incoming Pledge,Denmark- Ministry of Foreign Affairs,XM-DAC-3,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('transaction-description',)",15123,998,23686509.05268768,13831
13834,DK-CVR-20699310-DK19938,Danish Refugee Council,DK-CVR-20699310,21,12772819.44023119,2020-09-10,1,Incoming Funds,Denmark - Ministry of Foreign Affairs,XM-DAC-3-1,NA,Danish Refugee Council,DK-CVR-20699310,21,110,MAYBE,NA,"('transaction-description',)",15123,998,12772819.44023119,13834
