...1,iati_identifier,reporting_org_text,reporting_org_ref,reporting_org_type,value_USD,transaction_date,transaction_type_code,transaction_type,provider_text,provider_ref,provider_type,receiver_text,receiver_ref,receiver_type,finance_type,covid_relevant,humanitarian,covid_matches,sector,country_region,value_USD_proportionate,id
67388,XI-IATI-EC_DEVCO-2012/23181/2,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,15,-410117.718816,2020-10-16,2,Outgoing Commitment,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,NA,NA,NA,110,MAYBE,NA,"('tag',)",31140,MW,-410117.7188160001,67388
67389,XI-IATI-EC_DEVCO-2012/23181/2,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,15,-3411483.38856,2020-11-04,2,Outgoing Commitment,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,NA,NA,NA,110,MAYBE,NA,"('tag',)",31140,MW,-3411483.38856,67389
67392,XI-IATI-EC_DEVCO-2012/23181/3,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,15,-320887.43856,2020-02-27,2,Outgoing Commitment,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,NA,NA,NA,110,MAYBE,NA,"('tag',)",31110,MW,-320887.43856,67392
67393,XI-IATI-EC_DEVCO-2012/23181/3,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,15,-179290.710144,2020-10-16,2,Outgoing Commitment,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,NA,NA,NA,110,MAYBE,NA,"('tag',)",31110,MW,-179290.710144,67393
67404,XI-IATI-EC_DEVCO-2012/308-960,European Commission - International Partnerships-EuropeAid,XI-IATI-EC_DEVCO,15,2668814.704296,2020-06-04,3,Disbursement,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,Reino De Espana*Royaume D Espagnekingdom Of Spain,Reino De Espana*Royaume D Espagnekingdom Of Spain,NA,110,MAYBE,NA,"('tag',)",14030,NI,2668814.704296,67404
67406,XI-IATI-EC_DEVCO-2013/22536/0,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,15,-8189249.50116,2020-11-09,2,Outgoing Commitment,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,NA,NA,NA,110,MAYBE,NA,"('tag',)",12220,BD,-8189249.50116,67406
67408,XI-IATI-EC_DEVCO-2013/23203/0,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,15,2798640,2020-08-07,2,Outgoing Commitment,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,NA,NA,NA,110,MAYBE,NA,"('tag',)",12110,ZM,2798640,67408
67416,XI-IATI-EC_DEVCO-2013/23833/0,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,15,-511056.0000000001,2020-06-17,2,Outgoing Commitment,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,NA,NA,NA,110,MAYBE,NA,"('tag',)",14031,MU,-511056.0000000001,67416
67417,XI-IATI-EC_DEVCO-2013/23833/0,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,15,-422521.44948,2020-11-24,2,Outgoing Commitment,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,NA,NA,NA,110,MAYBE,NA,"('tag',)",14031,MU,-422521.44948,67417
67432,XI-IATI-EC_DEVCO-2013/24764/1,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,15,-360295.0884,2020-05-17,2,Outgoing Commitment,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,NA,NA,NA,110,MAYBE,NA,"('tag',)",15130,619,-360295.0884,67432
67444,XI-IATI-EC_DEVCO-2013/319-189,European Commission - International Partnerships-EuropeAid,XI-IATI-EC_DEVCO,15,16666.436592,2020-05-26,3,Disbursement,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,United Nations Children'S Fund*Le Ffonds Des Nations Unies Pour L'Enfance,United Nations Children'S Fund*Le Ffonds Des Nations Unies Pour L'Enfance,NA,110,MAYBE,NA,"('tag',)",12220,ZM,16666.436592,67444
67451,XI-IATI-EC_DEVCO-2013/335-311,European Commission - International Partnerships-EuropeAid,XI-IATI-EC_DEVCO,15,1216800,2020-12-03,3,Disbursement,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,Reino De Espana*Royaume D Espagnekingdom Of Spain,Reino De Espana*Royaume D Espagnekingdom Of Spain,NA,110,MAYBE,NA,"('tag',)",15210,389,1216800,67451
67454,XI-IATI-EC_DEVCO-2014/24542/0,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,15,1216800,2020-07-15,2,Outgoing Commitment,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,NA,NA,NA,110,MAYBE,NA,"('tag',)",15110,MG,1216800,67454
67465,XI-IATI-EC_DEVCO-2014/337-112,European Commission - International Partnerships-EuropeAid,XI-IATI-EC_DEVCO,15,11109384,2020-06-08,3,Disbursement,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,Jamhuryat Islami Pakistan*Republique Islamique Du Pakistan Islamic Republic Of Pakistan,Jamhuryat Islami Pakistan*Republique Islamique Du Pakistan Islamic Republic Of Pakistan,NA,110,MAYBE,NA,"('tag',)",43040,PK,11109384,67465
67466,XI-IATI-EC_DEVCO-2014/337-112,European Commission - International Partnerships-EuropeAid,XI-IATI-EC_DEVCO,15,2743884,2020-10-20,3,Disbursement,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,Jamhuryat Islami Pakistan*Republique Islamique Du Pakistan Islamic Republic Of Pakistan,Jamhuryat Islami Pakistan*Republique Islamique Du Pakistan Islamic Republic Of Pakistan,NA,110,MAYBE,NA,"('tag',)",43040,PK,2743884,67466
67475,XI-IATI-EC_DEVCO-2014/349-336,European Commission - International Partnerships-EuropeAid,XI-IATI-EC_DEVCO,15,2433600,2020-07-06,3,Disbursement,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,Republiek Van Suid Afrika*Repablikiwe Sewula Afrika Republique D Afrique Du Sud Republic Of South Africa,Republiek Van Suid Afrika*Repablikiwe Sewula Afrika Republique D Afrique Du Sud Republic Of South Africa,NA,110,MAYBE,NA,"('tag',)",15130,ZA,2433600,67475
67477,XI-IATI-EC_DEVCO-2014/354-878,European Commission - International Partnerships-EuropeAid,XI-IATI-EC_DEVCO,15,1676801.5056,2020-06-29,3,Disbursement,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,Agence Francaise De Developpement,Agence Francaise De Developpement,NA,110,MAYBE,NA,"('tag',)",14050,UZ,1676801.5056,67477
67550,XI-IATI-EC_DEVCO-2014/37570/0,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,15,8708349.218400002,2020-01-21,2,Outgoing Commitment,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,NA,NA,NA,110,MAYBE,NA,"('tag',)",16050,498,1741669.84368,67550
67551,XI-IATI-EC_DEVCO-2014/37570/0,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,15,8708349.218400002,2020-01-21,2,Outgoing Commitment,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,NA,NA,NA,110,MAYBE,NA,"('tag',)",21010,498,1741669.84368,67551
67552,XI-IATI-EC_DEVCO-2014/37570/0,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,15,8708349.218400002,2020-01-21,2,Outgoing Commitment,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,NA,NA,NA,110,MAYBE,NA,"('tag',)",23110,498,1741669.84368,67552
67553,XI-IATI-EC_DEVCO-2014/37570/0,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,15,8708349.218400002,2020-01-21,2,Outgoing Commitment,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,NA,NA,NA,110,MAYBE,NA,"('tag',)",32130,498,1741669.84368,67553
67554,XI-IATI-EC_DEVCO-2014/37570/0,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,15,8708349.218400002,2020-01-21,2,Outgoing Commitment,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,NA,NA,NA,110,MAYBE,NA,"('tag',)",41010,498,1741669.84368,67554
67555,XI-IATI-EC_DEVCO-2014/37570/0,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,15,-3346200,2020-04-01,2,Outgoing Commitment,European Commission - Development and Cooperation-EuropeAid,XI-IATI-EC_DEVCO,NA,NA,NA,NA,110,MAYBE,NA,"('tag',)",16050,498,-669240.0000000001,67555
