id,source,destination,commit_date,total_value,paid_to_date,pc10,pc20,pc30,pc40,pc50,pc60,pc70,pc80,pc90,pc100,commit_updates,receiver_type
XM-DAC-5-7-6614064,Germany - Federal Foreign Office,Fundación para la Promoción Estratégica Vitivinícola (PEVI),2020-04-22,11747.494122,11733.391488,2020-04-22,2020-04-22,2020-04-22,2020-04-22,2020-04-22,2020-04-22,2020-04-22,2020-04-22,2020-04-22,,0,
XM-DAC-5-7-6614087,Germany - Federal Foreign Office,"Hygiene, Sanitation and Water Supply Fund (HYSAWA)",2020-05-10,10529.321670000001,10527.37504,2020-05-10,2020-05-10,2020-05-10,2020-05-10,2020-05-10,2020-05-10,2020-05-10,2020-05-10,2020-05-10,,0,
XM-DAC-5-7-6614118,Germany - Federal Foreign Office,International Commission of Jurists (ICJ),2020-03-05,21752.43567,21660.138805,2020-03-05,2020-03-05,2020-03-05,2020-03-05,2020-03-05,2020-03-05,2020-03-05,2020-03-05,2020-03-05,,0,
XM-DAC-5-7-6614213,Germany - Federal Foreign Office,EiMRB,2020-03-26,5508.608175,5450.649122999999,2020-03-26,2020-03-26,2020-03-26,2020-03-26,2020-03-26,2020-03-26,2020-03-26,2020-03-26,2020-03-26,,0,
XM-DAC-5-7-6614238,Germany - Federal Foreign Office,There is Hope,2020-04-06,10758.585824,10859.124052,2020-04-06,2020-04-06,2020-04-06,2020-04-06,2020-04-06,2020-04-06,2020-04-06,2020-04-06,2020-04-06,2020-04-06,0,
XM-DAC-5-7-6614239,Germany - Federal Foreign Office,Taste of Malawi,2020-04-06,11278.926176,11384.326948,2020-04-06,2020-04-06,2020-04-06,2020-04-06,2020-04-06,2020-04-06,2020-04-06,2020-04-06,2020-04-06,2020-04-06,0,
XM-DAC-5-7-6614240,Germany - Federal Foreign Office,United Nations Development Programme,2020-04-14,5485500.0,5454500.0,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,,0,
XM-DAC-5-7-6614247,Germany - Federal Foreign Office,World Health Organisation - core voluntary contributions account,2020-04-08,2172800.0,2181800.0,2020-04-08,2020-04-08,2020-04-08,2020-04-08,2020-04-08,2020-04-08,2020-04-08,2020-04-08,2020-04-08,2020-04-08,0,
XM-DAC-5-7-6614273,Germany - Federal Foreign Office,Glory Bandhu-protim Samaj Kallayan Sangstha (GBSKS),2020-04-23,23983.636005,24124.240235999998,2020-04-23,2020-04-23,2020-04-23,2020-04-23,2020-04-23,2020-04-23,2020-04-23,2020-04-23,2020-04-23,2020-04-23,0,
XM-DAC-5-7-6614274,Germany - Federal Foreign Office,Rumphi Residents Association,2020-04-14,37335.541752,36888.989573,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,,0,
XM-DAC-5-7-6614278,Germany - Federal Foreign Office,Khala Design,2020-04-14,3434.2301880000005,3414.8224520000003,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,,0,
XM-DAC-5-7-6614323,Germany - Federal Foreign Office,Rizq,2020-04-28,28353.80268,28876.121941999998,2020-04-28,2020-04-28,2020-04-28,2020-04-28,2020-04-28,2020-04-28,2020-04-28,2020-04-28,2020-04-28,2020-04-28,0,
XM-DAC-5-7-6614325,Germany - Federal Foreign Office,FUNDACION SEMBRANDO ESPERANZA - FUNDASE,2020-04-28,9871.335936,9853.116416,2020-04-28,2020-04-28,2020-04-28,2020-04-28,2020-04-28,2020-04-28,2020-04-28,2020-04-28,2020-04-28,,0,
XM-DAC-5-7-6614336,Germany - Federal Foreign Office,Central Government,2020-04-24,53990.00000000001,54079.99999999999,2020-04-24,2020-04-24,2020-04-24,2020-04-24,2020-04-24,2020-04-24,2020-04-24,2020-04-24,2020-04-24,2020-04-24,0,
XM-DAC-5-7-6614375,Germany - Federal Foreign Office,"""Aghorj Kyanq/Healthy Life"" Social Health Organisation",2020-05-06,4425.4352100000015,4429.530559999998,2020-05-06,2020-05-06,2020-05-06,2020-05-06,2020-05-06,2020-05-06,2020-05-06,2020-05-06,2020-05-06,2020-05-06,0,
XM-DAC-5-7-6614389,Germany - Federal Foreign Office,Khilbarirtek Kalyan Society (KKS),2020-05-10,8414.867844,8591.772211999998,2020-05-10,2020-05-10,2020-05-10,2020-05-10,2020-05-10,2020-05-10,2020-05-10,2020-05-10,2020-05-10,2020-05-10,0,
XM-DAC-5-7-6614390,Germany - Federal Foreign Office,Meena Inclusive Society for Development,2020-05-10,26258.96412,27086.696862,2020-05-10,2020-05-10,2020-05-10,2020-05-10,2020-05-10,2020-05-10,2020-05-10,2020-05-10,2020-05-10,2020-05-10,0,
XM-DAC-5-7-6614419,Germany - Federal Foreign Office,"Kawun Institute of Higher Education (KIHE), Mazar-e Sharif",2020-04-14,11852.827038,11706.248448,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,2020-04-14,,0,
XM-DAC-5-7-6614434,Germany - Federal Foreign Office,United Nations Office for Project Services,2020-05-18,163560.0,169050.0,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,2020-05-18,0,
XM-DAC-5-7-6614476,Germany - Federal Foreign Office,Assoçiação A Ponte,2020-05-26,1616.37465,1593.6835199999998,2020-05-26,2020-05-26,2020-05-26,2020-05-26,2020-05-26,2020-05-26,2020-05-26,2020-05-26,2020-05-26,,0,
XM-DAC-5-7-6614488,Germany - Federal Foreign Office,GK Recife,2020-05-28,44276.0,45624.0,2020-05-28,2020-05-28,2020-05-28,2020-05-28,2020-05-28,2020-05-28,2020-05-28,2020-05-28,2020-05-28,2020-05-28,0,
XM-DAC-5-7-6614492,Germany - Federal Foreign Office,RONGITO,2020-05-29,40651.62,41248.2,2020-05-29,2020-05-29,2020-05-29,2020-05-29,2020-05-29,2020-05-29,2020-05-29,2020-05-29,2020-05-29,2020-05-29,0,
XM-DAC-5-7-6614495,Germany - Federal Foreign Office,United Nations Office of Co-ordination of Humanitarian Affairs,2020-05-29,144946350.0,147073500.0,2020-05-29,2020-05-29,2020-05-29,2020-05-29,2020-05-29,2020-05-29,2020-05-29,2020-05-29,2020-05-29,2020-05-29,8,
XM-DAC-5-7-6614496,Germany - Federal Foreign Office,United Nations Development Programme,2020-05-29,83302500.0,84525000.0,2020-05-29,2020-05-29,2020-05-29,2020-05-29,2020-05-29,2020-05-29,2020-05-29,2020-05-29,2020-05-29,2020-05-29,5,
XM-DAC-5-7-6614502,Germany - Federal Foreign Office,ASSOCIAÇÃO PARA EDUCAÇÃO DOS SURDOS,2020-05-19,7213.574908999999,7433.2073900000005,2020-05-19,2020-05-19,2020-05-19,2020-05-19,2020-05-19,2020-05-19,2020-05-19,2020-05-19,2020-05-19,2020-05-19,0,
