...1,iati_identifier,reporting_org_text,reporting_org_ref,reporting_org_type,value_USD,transaction_date,transaction_type_code,transaction_type,provider_text,provider_ref,provider_type,receiver_text,receiver_ref,receiver_type,finance_type,covid_relevant,humanitarian,covid_matches,sector,country_region,value_USD_proportionate,id
18467,NL-KVK-27108436-A-05750-03:TN,Oxfam Novib,NL-KVK-27108436,21,4472.582618371048,2020-12-01,1,Incoming Funds,OXFAM QUEBEC,OXFAM QUEBEC,NA,Oxfam Novib,NL-KVK-27108436,21,110,MAYBE,NA,"('title', 'description')",15150,TN,4472.582618371048,18467
18468,NL-KVK-27108436-A-05750-03:TN,Oxfam Novib,NL-KVK-27108436,21,4472.582618371048,2020-12-01,3,Disbursement,Oxfam Novib,NL-KVK-27108436,NA,Association Rayhana,Association Rayhana,NA,110,MAYBE,NA,"('title', 'description')",15150,TN,4472.582618371048,18468
18469,NL-KVK-27108436-A-05787-09:17,Oxfam Novib,NL-KVK-27108436,21,32368.31041186144,2020-10-01,1,Incoming Funds,Ministry of Foreign Affairs NL,NL-1,NA,Oxfam Novib,NL-KVK-27108436,21,110,MAYBE,NA,"('description',)",15150,SN,32368.31041186144,18469
18470,NL-KVK-27108436-A-05787-09:17,Oxfam Novib,NL-KVK-27108436,21,32368.31041186144,2020-10-01,3,Disbursement,Oxfam Novib,NL-KVK-27108436,NA,Oxfam Intermon,Oxfam Intermon,NA,110,MAYBE,NA,"('description',)",15150,SN,32368.31041186144,18470
18471,NL-KVK-27108436-A-05823-13:UG,Oxfam Novib,NL-KVK-27108436,21,29564.23830861322,2020-05-01,1,Incoming Funds,IKEA Foundation,IKEA Foundation,NA,Oxfam Novib,NL-KVK-27108436,21,110,MAYBE,NA,"('title', 'description', 'GLIDE')",74010,UG,29564.23830861322,18471
18472,NL-KVK-27108436-A-05823-13:UG,Oxfam Novib,NL-KVK-27108436,21,29564.23830861322,2020-05-01,3,Disbursement,Oxfam Novib,NL-KVK-27108436,NA,PALM CORPS LTD- GENERAL PCLO,PALM CORPS LTD- GENERAL PCLO,NA,110,MAYBE,NA,"('title', 'description', 'GLIDE')",74010,UG,29564.23830861322,18472
18473,NL-KVK-27108436-A-05823-14:UG,Oxfam Novib,NL-KVK-27108436,21,29147.62553622535,2020-05-01,1,Incoming Funds,IKEA Foundation,IKEA Foundation,NA,Oxfam Novib,NL-KVK-27108436,21,110,MAYBE,NA,"('title', 'description', 'GLIDE')",74010,UG,29147.62553622535,18473
18474,NL-KVK-27108436-A-05823-14:UG,Oxfam Novib,NL-KVK-27108436,21,29147.62553622535,2020-05-01,3,Disbursement,Oxfam Novib,NL-KVK-27108436,NA,ACTION 4 HUMAN RIGHTS & EDUCATION I AHEDI,ACTION 4 HUMAN RIGHTS & EDUCATION I AHEDI,NA,110,MAYBE,NA,"('title', 'description', 'GLIDE')",74010,UG,29147.62553622535,18474
18475,NL-KVK-27108436-A-05823-15:UG,Oxfam Novib,NL-KVK-27108436,21,29602.40963592624,2020-05-01,1,Incoming Funds,IKEA Foundation,IKEA Foundation,NA,Oxfam Novib,NL-KVK-27108436,21,110,MAYBE,NA,"('title', 'description', 'GLIDE')",74010,UG,29602.40963592624,18475
18476,NL-KVK-27108436-A-05823-15:UG,Oxfam Novib,NL-KVK-27108436,21,29602.40963592624,2020-05-01,3,Disbursement,Oxfam Novib,NL-KVK-27108436,NA,Partners in Community Transformatio PICOT,Partners in Community Transformatio PICOT,NA,110,MAYBE,NA,"('title', 'description', 'GLIDE')",74010,UG,29602.40963592624,18476
18477,NL-KVK-27108436-A-05823-16:UG,Oxfam Novib,NL-KVK-27108436,21,26866.0707722583,2020-05-01,1,Incoming Funds,IKEA Foundation,IKEA Foundation,NA,Oxfam Novib,NL-KVK-27108436,21,110,MAYBE,NA,"('title', 'description', 'GLIDE')",74010,UG,26866.0707722583,18477
18478,NL-KVK-27108436-A-05823-16:UG,Oxfam Novib,NL-KVK-27108436,21,26866.0707722583,2020-05-01,3,Disbursement,Oxfam Novib,NL-KVK-27108436,NA,Youth Social Advocacy team YSAT,Youth Social Advocacy team YSAT,NA,110,MAYBE,NA,"('title', 'description', 'GLIDE')",74010,UG,26866.0707722583,18478
18479,NL-KVK-27108436-A-05823-17:UG,Oxfam Novib,NL-KVK-27108436,21,29583.86927694563,2020-05-01,1,Incoming Funds,IKEA Foundation,IKEA Foundation,NA,Oxfam Novib,NL-KVK-27108436,21,110,MAYBE,NA,"('title', 'description', 'GLIDE')",74010,UG,29583.86927694563,18479
18480,NL-KVK-27108436-A-05823-17:UG,Oxfam Novib,NL-KVK-27108436,21,29583.86927694563,2020-05-01,3,Disbursement,Oxfam Novib,NL-KVK-27108436,NA,SORUDA SORUDA,SORUDA SORUDA,NA,110,MAYBE,NA,"('title', 'description', 'GLIDE')",74010,UG,29583.86927694563,18480
18481,NL-KVK-27108436-A-05823-18:UG,Oxfam Novib,NL-KVK-27108436,21,29596.95658916724,2020-05-01,1,Incoming Funds,IKEA Foundation,IKEA Foundation,NA,Oxfam Novib,NL-KVK-27108436,21,110,MAYBE,NA,"('title', 'description', 'GLIDE')",74010,UG,29596.95658916724,18481
18482,NL-KVK-27108436-A-05823-18:UG,Oxfam Novib,NL-KVK-27108436,21,29596.95658916724,2020-05-01,3,Disbursement,Oxfam Novib,NL-KVK-27108436,NA,NORTHERN UGANDA WIDOWS & ORPHANS SU NUWOSO,NORTHERN UGANDA WIDOWS & ORPHANS SU NUWOSO,NA,110,MAYBE,NA,"('title', 'description', 'GLIDE')",74010,UG,29596.95658916724,18482
18483,NL-KVK-27108436-A-05823-19:UG,Oxfam Novib,NL-KVK-27108436,21,45893.27418756021,2020-07-01,1,Incoming Funds,IKEA Foundation,IKEA Foundation,NA,Oxfam Novib,NL-KVK-27108436,21,110,MAYBE,NA,"('title', 'description', 'GLIDE')",74010,UG,45893.27418756022,18483
18484,NL-KVK-27108436-A-05823-19:UG,Oxfam Novib,NL-KVK-27108436,21,45893.27418756021,2020-07-01,3,Disbursement,Oxfam Novib,NL-KVK-27108436,NA,CARITAS,CARITAS,NA,110,MAYBE,NA,"('title', 'description', 'GLIDE')",74010,UG,45893.27418756022,18484
18485,NL-KVK-27108436-A-05823-20:UG,Oxfam Novib,NL-KVK-27108436,21,28991.20385604007,2020-07-01,1,Incoming Funds,IKEA Foundation,IKEA Foundation,NA,Oxfam Novib,NL-KVK-27108436,21,110,MAYBE,NA,"('title', 'description', 'GLIDE')",74010,UG,28991.20385604007,18485
18486,NL-KVK-27108436-A-05823-20:UG,Oxfam Novib,NL-KVK-27108436,21,28991.20385604007,2020-07-01,3,Disbursement,Oxfam Novib,NL-KVK-27108436,NA,NORTHERN UGANDA WIDOWS & ORPHANS SU NUWOSO,NORTHERN UGANDA WIDOWS & ORPHANS SU NUWOSO,NA,110,MAYBE,NA,"('title', 'description', 'GLIDE')",74010,UG,28991.20385604007,18486
18487,NL-KVK-27108436-A-05823-26:UG,Oxfam Novib,NL-KVK-27108436,21,28876.38967033656,2020-11-01,1,Incoming Funds,IKEA Foundation,IKEA Foundation,NA,Oxfam Novib,NL-KVK-27108436,21,110,MAYBE,NA,"('description',)",72010,UG,28876.38967033656,18487
18488,NL-KVK-27108436-A-05823-26:UG,Oxfam Novib,NL-KVK-27108436,21,28876.38967033656,2020-11-01,3,Disbursement,Oxfam Novib,NL-KVK-27108436,NA,PALM CORPS LTD- GENERAL PCLO,PALM CORPS LTD- GENERAL PCLO,NA,110,MAYBE,NA,"('description',)",72010,UG,28876.38967033656,18488
18489,NL-KVK-27108436-A-05823-27:UG,Oxfam Novib,NL-KVK-27108436,21,29581.61538102008,2020-11-01,1,Incoming Funds,IKEA Foundation,IKEA Foundation,NA,Oxfam Novib,NL-KVK-27108436,21,110,MAYBE,NA,"('description',)",72010,UG,29581.61538102008,18489
18490,NL-KVK-27108436-A-05823-27:UG,Oxfam Novib,NL-KVK-27108436,21,29581.61538102008,2020-11-01,3,Disbursement,Oxfam Novib,NL-KVK-27108436,NA,Partners in Community Transformatio PICOT,Partners in Community Transformatio PICOT,NA,110,MAYBE,NA,"('description',)",72010,UG,29581.61538102008,18490
18491,NL-KVK-27108436-A-05823-28:UG,Oxfam Novib,NL-KVK-27108436,21,29578.06558717436,2020-11-01,1,Incoming Funds,IKEA Foundation,IKEA Foundation,NA,Oxfam Novib,NL-KVK-27108436,21,110,MAYBE,NA,"('description',)",72010,UG,29578.06558717436,18491
18492,NL-KVK-27108436-A-05823-28:UG,Oxfam Novib,NL-KVK-27108436,21,29578.06558717436,2020-11-01,3,Disbursement,Oxfam Novib,NL-KVK-27108436,NA,SORUDA SORUDA,SORUDA SORUDA,NA,110,MAYBE,NA,"('description',)",72010,UG,29578.06558717436,18492
18493,NL-KVK-27108436-A-05823-29:UG,Oxfam Novib,NL-KVK-27108436,21,29581.61538102008,2020-11-01,1,Incoming Funds,IKEA Foundation,IKEA Foundation,NA,Oxfam Novib,NL-KVK-27108436,21,110,MAYBE,NA,"('description',)",72010,UG,29581.61538102008,18493
18494,NL-KVK-27108436-A-05823-29:UG,Oxfam Novib,NL-KVK-27108436,21,29581.61538102008,2020-11-01,3,Disbursement,Oxfam Novib,NL-KVK-27108436,NA,CARITAS,CARITAS,NA,110,MAYBE,NA,"('description',)",72010,UG,29581.61538102008,18494
18497,NL-KVK-27108436-A-05868-06:UG,Oxfam Novib,NL-KVK-27108436,21,9463.483198236196,2020-08-01,1,Incoming Funds,Oxfam Denmark (IBIS),DK-CVR-88136411,NA,Oxfam Novib,NL-KVK-27108436,21,110,MAYBE,NA,"('description',)",74010,UG,9463.483198236196,18497
18498,NL-KVK-27108436-A-05868-06:UG,Oxfam Novib,NL-KVK-27108436,21,9463.483198236196,2020-08-01,3,Disbursement,Oxfam Novib,NL-KVK-27108436,NA,COMMUNITY EMPOWERMENT 4 CREATIVE IN CECI,COMMUNITY EMPOWERMENT 4 CREATIVE IN CECI,NA,110,MAYBE,NA,"('description',)",74010,UG,9463.483198236196,18498
