date,org,total_inflow,total_outflow,inc_commitment,received,out_commitment,disbursed,expenditure,net_flow_total,net_cash
2020-01-06,Oxfam Novib,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
2020-01-13,Oxfam Novib,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
2020-01-20,Oxfam Novib,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
2020-01-27,Oxfam Novib,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
2020-02-03,Oxfam Novib,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
2020-02-10,Oxfam Novib,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
2020-02-17,Oxfam Novib,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
2020-02-24,Oxfam Novib,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
2020-03-02,Oxfam Novib,0.0,31441.17048011786,0,0.0,0,0.0,31441.17048011786,-31441.17048011786,-31441.17048011786
2020-03-09,Oxfam Novib,0.0,31441.17048011786,0,0.0,0,0.0,31441.17048011786,-31441.17048011786,-31441.17048011786
2020-03-16,Oxfam Novib,0.0,31441.17048011786,0,0.0,0,0.0,31441.17048011786,-31441.17048011786,-31441.17048011786
2020-03-23,Oxfam Novib,0.0,31441.17048011786,0,0.0,0,0.0,31441.17048011786,-31441.17048011786,-31441.17048011786
2020-03-30,Oxfam Novib,0.0,31441.17048011786,0,0.0,0,0.0,31441.17048011786,-31441.17048011786,-31441.17048011786
2020-04-06,Oxfam Novib,22374.07177881427,113880.25851299566,0,22374.07177881427,0,16621.54669102058,97258.71182197507,-91506.18673418139,-91506.18673418138
2020-04-13,Oxfam Novib,22374.07177881427,113880.25851299566,0,22374.07177881427,0,16621.54669102058,97258.71182197507,-91506.18673418139,-91506.18673418138
2020-04-20,Oxfam Novib,22374.07177881427,113880.25851299566,0,22374.07177881427,0,16621.54669102058,97258.71182197507,-91506.18673418139,-91506.18673418138
2020-04-27,Oxfam Novib,22374.07177881427,113880.25851299566,0,22374.07177881427,0,16621.54669102058,97258.71182197507,-91506.18673418139,-91506.18673418138
2020-05-04,Oxfam Novib,353864.78425863525,485543.5664663951,0,353864.78425863525,0,311075.16558369,174468.4008827052,-131678.78220775985,-131678.78220775994
2020-05-11,Oxfam Novib,353864.78425863525,485543.5664663951,0,353864.78425863525,0,311075.16558369,174468.4008827052,-131678.78220775985,-131678.78220775994
2020-05-18,Oxfam Novib,353864.78425863525,485543.5664663951,0,353864.78425863525,0,311075.16558369,174468.4008827052,-131678.78220775985,-131678.78220775994
2020-05-25,Oxfam Novib,353864.78425863525,485543.5664663951,0,353864.78425863525,0,311075.16558369,174468.4008827052,-131678.78220775985,-131678.78220775994
2020-06-01,Oxfam Novib,895313.6140648432,1134202.3609803293,0,895313.6140648432,0,786312.6993401464,347889.6616401829,-238888.74691548618,-238888.74691548612
2020-06-08,Oxfam Novib,895313.6140648432,1134202.3609803293,0,895313.6140648432,0,786312.6993401464,347889.6616401829,-238888.74691548618,-238888.74691548612
2020-06-15,Oxfam Novib,895313.6140648432,1134202.3609803293,0,895313.6140648432,0,786312.6993401464,347889.6616401829,-238888.74691548618,-238888.74691548612
2020-06-22,Oxfam Novib,895313.6140648432,1134202.3609803293,0,895313.6140648432,0,786312.6993401464,347889.6616401829,-238888.74691548618,-238888.74691548612
2020-06-29,Oxfam Novib,895313.6140648432,1134202.3609803293,0,895313.6140648432,0,786312.6993401464,347889.6616401829,-238888.74691548618,-238888.74691548612
2020-07-06,Oxfam Novib,1478487.8164482047,1790114.4371722736,0,1478487.8164482047,0,1244854.2108340592,545260.2263382153,-311626.62072406895,-311626.62072406977
2020-07-13,Oxfam Novib,1478487.8164482047,1790114.4371722736,0,1478487.8164482047,0,1244854.2108340592,545260.2263382153,-311626.62072406895,-311626.62072406977
2020-07-20,Oxfam Novib,1478487.8164482047,1790114.4371722736,0,1478487.8164482047,0,1244854.2108340592,545260.2263382153,-311626.62072406895,-311626.62072406977
2020-07-27,Oxfam Novib,1478487.8164482047,1790114.4371722736,0,1478487.8164482047,0,1244854.2108340592,545260.2263382153,-311626.62072406895,-311626.62072406977
2020-08-03,Oxfam Novib,4812154.737564274,5328839.661033925,0,4812154.737564274,0,4373040.521266826,955799.139767099,-516684.92346965056,-516684.9234696514
2020-08-10,Oxfam Novib,4812154.737564274,5328839.661033925,0,4812154.737564274,0,4373040.521266826,955799.139767099,-516684.92346965056,-516684.9234696514
2020-08-17,Oxfam Novib,4812154.737564274,5328839.661033925,0,4812154.737564274,0,4373040.521266826,955799.139767099,-516684.92346965056,-516684.9234696514
2020-08-24,Oxfam Novib,4812154.737564274,5328839.661033925,0,4812154.737564274,0,4373040.521266826,955799.139767099,-516684.92346965056,-516684.9234696514
2020-08-31,Oxfam Novib,4812154.737564274,5328839.661033925,0,4812154.737564274,0,4373040.521266826,955799.139767099,-516684.92346965056,-516684.9234696514
2020-09-07,Oxfam Novib,7568227.680641498,8570930.7084844,0,7568227.680641498,0,7054002.057575445,1516928.6509089528,-1002703.0278429016,-1002703.0278428991
2020-09-14,Oxfam Novib,7568227.680641498,8570930.7084844,0,7568227.680641498,0,7054002.057575445,1516928.6509089528,-1002703.0278429016,-1002703.0278428991
2020-09-21,Oxfam Novib,7568227.680641498,8570930.7084844,0,7568227.680641498,0,7054002.057575445,1516928.6509089528,-1002703.0278429016,-1002703.0278428991
2020-09-28,Oxfam Novib,7568227.680641498,8570930.7084844,0,7568227.680641498,0,7054002.057575445,1516928.6509089528,-1002703.0278429016,-1002703.0278428991
2020-10-05,Oxfam Novib,7894094.174426078,9905553.830710435,0,7894094.174426078,0,7228819.182506766,2676734.6482036673,-2011459.6562843574,-2011459.6562843556
2020-10-12,Oxfam Novib,7894094.174426078,9905553.830710435,0,7894094.174426078,0,7228819.182506766,2676734.6482036673,-2011459.6562843574,-2011459.6562843556
2020-10-19,Oxfam Novib,7894094.174426078,9905553.830710435,0,7894094.174426078,0,7228819.182506766,2676734.6482036673,-2011459.6562843574,-2011459.6562843556
2020-10-26,Oxfam Novib,7894094.174426078,9905553.830710435,0,7894094.174426078,0,7228819.182506766,2676734.6482036673,-2011459.6562843574,-2011459.6562843556
2020-11-02,Oxfam Novib,9238418.852770383,11653609.579039514,0,9238418.852770383,0,8392887.695894519,3260721.8831449975,-2415190.7262691315,-2415190.726269134
2020-11-09,Oxfam Novib,9238418.852770383,11653609.579039514,0,9238418.852770383,0,8392887.695894519,3260721.8831449975,-2415190.7262691315,-2415190.726269134
2020-11-16,Oxfam Novib,9238418.852770383,11653609.579039514,0,9238418.852770383,0,8392887.695894519,3260721.8831449975,-2415190.7262691315,-2415190.726269134
2020-11-23,Oxfam Novib,9238418.852770383,11653609.579039514,0,9238418.852770383,0,8392887.695894519,3260721.8831449975,-2415190.7262691315,-2415190.726269134
2020-11-30,Oxfam Novib,9238418.852770383,11653609.579039514,0,9238418.852770383,0,8392887.695894519,3260721.8831449975,-2415190.7262691315,-2415190.726269134
2020-12-07,Oxfam Novib,10598507.379732108,14231968.289655754,0,10598507.379732108,0,9671175.168830587,4560793.120825167,-3633460.9099236466,-3633460.9099236457
2020-12-14,Oxfam Novib,10598507.379732108,14231968.289655754,0,10598507.379732108,0,9671175.168830587,4560793.120825167,-3633460.9099236466,-3633460.9099236457
2020-12-21,Oxfam Novib,10598507.379732108,14231968.289655754,0,10598507.379732108,0,9671175.168830587,4560793.120825167,-3633460.9099236466,-3633460.9099236457
2020-12-28,Oxfam Novib,10598507.379732108,14231968.289655754,0,10598507.379732108,0,9671175.168830587,4560793.120825167,-3633460.9099236466,-3633460.9099236457
2021-01-04,Oxfam Novib,10598507.379732108,14231968.289655754,0,10598507.379732108,0,9671175.168830587,4560793.120825167,-3633460.9099236466,-3633460.9099236457
