...1,iati_identifier,reporting_org_text,reporting_org_ref,reporting_org_type,value_USD,transaction_date,transaction_type_code,transaction_type,provider_text,provider_ref,provider_type,receiver_text,receiver_ref,receiver_type,finance_type,covid_relevant,humanitarian,covid_matches,sector,country_region,value_USD_proportionate,id
86480,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,972.563,2020-12-24,11,Incoming Commitment,Private donors in Kenya,Private donors in Kenya,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,972.563,86480
86481,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,8609.647,2020-12-24,11,Incoming Commitment,Private donors in Egypt,Private donors in Egypt,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,8609.647,86481
86482,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,6450.65,2020-12-24,11,Incoming Commitment,Private donors in India,Private donors in India,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,6450.65,86482
86483,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,63415.006,2020-12-24,11,Incoming Commitment,Private donors in Lebanon,Private donors in Lebanon,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,63415.00600000001,86483
86484,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,52567.944,2020-12-24,11,Incoming Commitment,Private donors in Thailand,Private donors in Thailand,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,52567.944,86484
86485,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,466613.323,2020-12-24,11,Incoming Commitment,Private donors in Sweden,Private donors in Sweden,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,466613.323,86485
86486,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,463579.701,2020-12-24,11,Incoming Commitment,Private donors in Canada,Private donors in Canada,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,463579.701,86486
86487,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,45114.523,2020-12-24,11,Incoming Commitment,Private donors in the Philippines,Private donors in the Philippines,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,45114.523,86487
86488,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,428414.347,2020-12-24,11,Incoming Commitment,Private donors in Italy,Private donors in Italy,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,428414.347,86488
86489,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,4034725.054,2020-12-24,11,Incoming Commitment,Private donors in Japan,Private donors in Japan,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,4034725.054,86489
86490,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,40.45,2020-12-24,11,Incoming Commitment,Private donors in South Africa,Private donors in South Africa,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,40.45,86490
86491,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,319.207,2020-12-24,11,Incoming Commitment,Private donors in Nigeria,Private donors in Nigeria,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,319.207,86491
86492,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,29450.327,2020-12-24,11,Incoming Commitment,Private donors in Kuwait,Private donors in Kuwait,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,29450.327,86492
86493,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,27085.846,2020-12-24,11,Incoming Commitment,Private donors in Saudi Arabia,Private donors in Saudi Arabia,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,27085.846,86493
86494,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,267560.27,2020-12-24,11,Incoming Commitment,Private donors in the United Arab Emirates,Private donors in the United Arab Emirates,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,267560.27,86494
86495,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,239594.209,2020-12-24,11,Incoming Commitment,Private donors in China,Private donors in China,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,239594.209,86495
86496,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,223069.957,2020-12-24,11,Incoming Commitment,Private donors in Switzerland,Private donors in Switzerland,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,223069.957,86496
86497,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,2128772.353,2020-12-24,11,Incoming Commitment,Private donors in Germany,Private donors in Germany,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,2128772.353,86497
86498,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,2017199.62,2020-12-24,11,Incoming Commitment,Private donors in the United States of America,Private donors in the United States of America,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,2017199.62,86498
86499,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,1786762.174,2020-12-24,11,Incoming Commitment,Private donors in the United Kingdom of Great Britain and Northern Ireland,Private donors in the United Kingdom of Great Britain and Northern Ireland,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,1786762.174,86499
86500,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,162766.573,2020-12-24,11,Incoming Commitment,Private donors in the Republic of Korea,Private donors in the Republic of Korea,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,162766.573,86500
86501,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,160525.539,2020-12-24,11,Incoming Commitment,Private donors in Denmark,Private donors in Denmark,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,160525.539,86501
86502,XM-DAC-41121-2020,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,154048.86,2020-12-24,11,Incoming Commitment,Private donors in Singapore,Private donors in Singapore,NA,United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,40,110,YES,NA,"('description', 'transaction-description')",NA,998,154048.86,86502
