...1,iati_identifier,reporting_org_text,reporting_org_ref,reporting_org_type,value_USD,transaction_date,transaction_type_code,transaction_type,provider_text,provider_ref,provider_type,receiver_text,receiver_ref,receiver_type,finance_type,covid_relevant,humanitarian,covid_matches,sector,country_region,value_USD_proportionate,id
29241,US-GOV-1-<Element 'iati-identifier' at 0x0000019C56BD7278>,U.S. Agency for International Development,US-GOV-1,10,400000,2020-04-30,2,Outgoing Commitment,U.S. Agency for International Development,US-GOV-1,NA,Johns Hopkins University,Johns Hopkins University,80,110,YES,NA,"('transaction-description',)",12264,MZ,400000,29241
29242,US-GOV-1-<Element 'iati-identifier' at 0x0000019C56BD7278>,U.S. Agency for International Development,US-GOV-1,10,2287,2020-06-30,3,Disbursement,U.S. Agency for International Development,US-GOV-1,NA,Johns Hopkins University,Johns Hopkins University,80,110,YES,NA,"('transaction-description',)",12264,MZ,2287,29242
29243,US-GOV-1-<Element 'iati-identifier' at 0x0000019C56BD7278>,U.S. Agency for International Development,US-GOV-1,10,75986.29,2020-07-31,3,Disbursement,U.S. Agency for International Development,US-GOV-1,NA,Johns Hopkins University,Johns Hopkins University,80,110,YES,NA,"('transaction-description',)",12264,MZ,75986.29,29243
29244,US-GOV-1-<Element 'iati-identifier' at 0x0000019C56BD7278>,U.S. Agency for International Development,US-GOV-1,10,8492.99,2020-08-31,3,Disbursement,U.S. Agency for International Development,US-GOV-1,NA,Johns Hopkins University,Johns Hopkins University,80,110,YES,NA,"('transaction-description',)",12264,MZ,8492.99,29244
29245,US-GOV-1-<Element 'iati-identifier' at 0x0000019C56BD7278>,U.S. Agency for International Development,US-GOV-1,10,45556.61,2020-09-30,3,Disbursement,U.S. Agency for International Development,US-GOV-1,NA,Johns Hopkins University,Johns Hopkins University,80,110,YES,NA,"('transaction-description',)",12264,MZ,45556.61,29245
29246,US-GOV-1-<Element 'iati-identifier' at 0x0000019C56BD7278>,U.S. Agency for International Development,US-GOV-1,10,28844.69,2020-11-30,3,Disbursement,U.S. Agency for International Development,US-GOV-1,NA,Johns Hopkins University,Johns Hopkins University,80,110,YES,NA,"('transaction-description',)",12264,MZ,28844.69,29246
29247,US-GOV-1-<Element 'iati-identifier' at 0x0000019C56BD7278>,U.S. Agency for International Development,US-GOV-1,10,21221.36,2020-12-31,3,Disbursement,U.S. Agency for International Development,US-GOV-1,NA,Johns Hopkins University,Johns Hopkins University,80,110,YES,NA,"('transaction-description',)",12264,MZ,21221.36,29247
29324,US-GOV-1-<Element 'iati-identifier' at 0x0000019C56BE0E58>,U.S. Agency for International Development,US-GOV-1,10,350000,2020-04-30,2,Outgoing Commitment,U.S. Agency for International Development,US-GOV-1,NA,"Results For Development Institute, Inc","Results For Development Institute, Inc",22,110,YES,NA,"('transaction-description',)",12264,GH,350000,29324
29325,US-GOV-1-<Element 'iati-identifier' at 0x0000019C56BE0E58>,U.S. Agency for International Development,US-GOV-1,10,113081.7,2020-09-30,3,Disbursement,U.S. Agency for International Development,US-GOV-1,NA,"Results For Development Institute, Inc","Results For Development Institute, Inc",22,110,YES,NA,"('transaction-description',)",12264,GH,113081.7,29325
29334,US-GOV-1-<Element 'iati-identifier' at 0x0000019C56BE0E58>,U.S. Agency for International Development,US-GOV-1,10,50525.66,2020-11-30,3,Disbursement,U.S. Agency for International Development,US-GOV-1,NA,"Results For Development Institute, Inc","Results For Development Institute, Inc",22,110,YES,NA,"('transaction-description',)",12264,GH,50525.66,29334
29374,US-GOV-1-<Element 'iati-identifier' at 0x0000019C56CA1BD8>,U.S. Agency for International Development,US-GOV-1,10,2000000,2020-09-30,2,Outgoing Commitment,U.S. Agency for International Development,US-GOV-1,NA,InterNews,InterNews,22,110,YES,NA,"('transaction-description',)",12264,998,2000000,29374
