id,source,destination,commit_date,total_value,paid_to_date,pc10,pc20,pc30,pc40,pc50,pc60,pc70,pc80,pc90,pc100,commit_updates,receiver_type
US-GOV-1-<Element 'iati-identifier' at 0x0000019C56BD7278>,U.S. Agency for International Development,Johns Hopkins University,2020-04-30,400000.0,182388.94,2020-12-31,2020-12-31,2020-12-31,2020-12-31,,,,,,,0,
US-GOV-1-<Element 'iati-identifier' at 0x0000019C56BE0E58>,U.S. Agency for International Development,"Results For Development Institute, Inc",2020-04-30,350000.0,163607.36,2020-11-30,2020-11-30,2020-11-30,2020-11-30,,,,,,,0,
US-GOV-1-<Element 'iati-identifier' at 0x0000019C56CA1BD8>,U.S. Agency for International Development,InterNews,2020-09-30,2000000.0,0.0,,,,,,,,,,,0,
US-GOV-1-<Element 'iati-identifier' at 0x0000019C56E21CC8>,U.S. Agency for International Development,"Fintrac, Inc.",2020-09-30,17641981.5,10150099.7,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-09-30,2020-09-30,2020-09-30,2020-09-30,2020-09-30,5,
US-GOV-1-<Element 'iati-identifier' at 0x0000019C56F28F48>,U.S. Agency for International Development,Amref Health Africa,2020-03-31,12531027.0,5719185.37,2020-09-30,2020-09-30,2020-09-30,2020-09-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,2020-06-30,5,
US-GOV-1-<Element 'iati-identifier' at 0x0000019C56FE20E8>,U.S. Agency for International Development,People in Need (Czech Republic),2020-07-31,400000.0,30925.14,,,,,,,,,,,0,
US-GOV-1-<Element 'iati-identifier' at 0x0000019C56FEF1D8>,U.S. Agency for International Development,World Vision,2020-07-31,700000.0,582105.0,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,,,0,
US-GOV-1-<Element 'iati-identifier' at 0x0000019C571B6B38>,U.S. Agency for International Development,ICF International,2020-04-30,3950000.0,3604769.469999999,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,2020-12-31,,6,
US-GOV-1-<Element 'iati-identifier' at 0x0000019C57421278>,U.S. Agency for International Development,"Save the Children Federation, Inc.",2020-05-31,3500000.0,106974.40000000014,2020-11-30,2020-11-30,2020-11-30,2020-11-30,,,,,,,0,
US-GOV-1-<Element 'iati-identifier' at 0x0000019C574E73B8>,U.S. Agency for International Development,Pathfinder International,,0.0,3218000.0,,,,,,,,,,,0,
