date,org,total_inflow,total_outflow,inc_commitment,received,out_commitment,disbursed,expenditure,net_flow_total,net_cash
2020-01-06,Danish Refugee Council,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-01-13,Danish Refugee Council,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-01-20,Danish Refugee Council,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-01-27,Danish Refugee Council,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2020-02-03,Danish Refugee Council,59348511.72377168,0.0,23774668.44738933,11887334.22369467,0,0.0,0.0,59348511.72377168,11887334.22369467
2020-02-10,Danish Refugee Council,59348511.72377168,0.0,23774668.44738933,11887334.22369467,0,0.0,0.0,59348511.72377168,11887334.22369467
2020-02-17,Danish Refugee Council,59348511.72377168,0.0,23774668.44738933,11887334.22369467,0,0.0,0.0,59348511.72377168,11887334.22369467
2020-02-24,Danish Refugee Council,59348511.72377168,0.0,23774668.44738933,11887334.22369467,0,0.0,0.0,59348511.72377168,11887334.22369467
2020-03-02,Danish Refugee Council,59348511.72377168,0.0,23774668.44738933,11887334.22369467,0,0.0,0.0,59348511.72377168,11887334.22369467
2020-03-09,Danish Refugee Council,59348511.72377168,0.0,23774668.44738933,11887334.22369467,0,0.0,0.0,59348511.72377168,11887334.22369467
2020-03-16,Danish Refugee Council,59348511.72377168,0.0,23774668.44738933,11887334.22369467,0,0.0,0.0,59348511.72377168,11887334.22369467
2020-03-23,Danish Refugee Council,59348511.72377168,0.0,23774668.44738933,11887334.22369467,0,0.0,0.0,59348511.72377168,11887334.22369467
2020-03-30,Danish Refugee Council,59348511.72377168,0.0,23774668.44738933,11887334.22369467,0,0.0,0.0,59348511.72377168,11887334.22369467
2020-04-06,Danish Refugee Council,60158643.62537168,863381.4912557681,23774668.44738933,12697466.125294669,0,0.0,863381.4912557681,59295262.13411591,11834084.634038901
2020-04-13,Danish Refugee Council,60158643.62537168,863381.4912557681,23774668.44738933,12697466.125294669,0,0.0,863381.4912557681,59295262.13411591,11834084.634038901
2020-04-20,Danish Refugee Council,60158643.62537168,863381.4912557681,23774668.44738933,12697466.125294669,0,0.0,863381.4912557681,59295262.13411591,11834084.634038901
2020-04-27,Danish Refugee Council,60158643.62537168,863381.4912557681,23774668.44738933,12697466.125294669,0,0.0,863381.4912557681,59295262.13411591,11834084.634038901
2020-05-04,Danish Refugee Council,60158643.62537168,1038819.3372157624,23774668.44738933,12697466.125294669,0,175437.84595999419,863381.4912557681,59119824.28815592,11658646.788078906
2020-05-11,Danish Refugee Council,60158643.62537168,1662607.6454315688,23774668.44738933,12697466.125294669,0,799226.1541758007,863381.4912557681,58496035.97994011,11034858.4798631
2020-05-18,Danish Refugee Council,60158643.62537168,1662607.6454315688,23774668.44738933,12697466.125294669,0,799226.1541758007,863381.4912557681,58496035.97994011,11034858.4798631
2020-05-25,Danish Refugee Council,73410295.10307592,1662607.6454315688,29327402.175103143,14821184.708630664,0,799226.1541758007,863381.4912557681,71747687.45764436,13158577.063199095
2020-06-01,Danish Refugee Council,110244622.52650408,1662607.6454315688,29327402.175103143,51655512.13205904,0,799226.1541758007,863381.4912557681,108582014.88107252,49992904.48662747
2020-06-08,Danish Refugee Council,110244622.52650408,1662607.6454315688,29327402.175103143,51655512.13205904,0,799226.1541758007,863381.4912557681,108582014.88107252,49992904.48662747
2020-06-15,Danish Refugee Council,110244622.52650408,1763373.603831569,29327402.175103143,51655512.13205904,0,899992.1125758006,863381.4912557681,108481248.92267251,49892138.52822747
2020-06-22,Danish Refugee Council,112456400.976683,1928578.2478315688,29327402.175103143,53867290.58223794,0,1065196.7565758007,863381.4912557681,110527822.72885144,51938712.33440637
2020-06-29,Danish Refugee Council,112456400.976683,2027813.442131569,29327402.175103143,53867290.58223794,0,1164431.9508758008,863381.4912557681,110428587.53455144,51839477.140106365
2020-07-06,Danish Refugee Council,113430916.452008,3014501.7719545644,29327402.175103143,54841806.05756293,0,1164431.9508758008,1850069.8210787636,110416414.68005343,51827304.285608366
2020-07-13,Danish Refugee Council,113430916.452008,3168301.270954564,29327402.175103143,54841806.05756293,0,1318231.4498758006,1850069.8210787636,110262615.18105343,51673504.78660837
2020-07-20,Danish Refugee Council,113430916.452008,3433342.270954564,29327402.175103143,54841806.05756293,0,1583272.4498758006,1850069.8210787636,109997574.18105343,51408463.78660837
2020-07-27,Danish Refugee Council,113430916.452008,3433342.270954564,29327402.175103143,54841806.05756293,0,1583272.4498758006,1850069.8210787636,109997574.18105343,51408463.78660837
2020-08-03,Danish Refugee Council,113430916.452008,3433342.270954564,29327402.175103143,54841806.05756293,0,1583272.4498758006,1850069.8210787636,109997574.18105343,51408463.78660837
2020-08-10,Danish Refugee Council,113430916.452008,3433342.270954564,29327402.175103143,54841806.05756293,0,1583272.4498758006,1850069.8210787636,109997574.18105343,51408463.78660837
2020-08-17,Danish Refugee Council,113430916.452008,3433342.270954564,29327402.175103143,54841806.05756293,0,1583272.4498758006,1850069.8210787636,109997574.18105343,51408463.78660837
2020-08-24,Danish Refugee Council,113430916.452008,3433342.270954564,29327402.175103143,54841806.05756293,0,1583272.4498758006,1850069.8210787636,109997574.18105343,51408463.78660837
2020-08-31,Danish Refugee Council,113430916.452008,3433342.270954564,29327402.175103143,54841806.05756293,0,1583272.4498758006,1850069.8210787636,109997574.18105343,51408463.78660837
2020-09-07,Danish Refugee Council,113610431.89522661,3433342.270954564,29327402.175103143,55021321.50078155,0,1583272.4498758006,1850069.8210787636,110177089.62427205,51587979.22982699
2020-09-14,Danish Refugee Council,126383251.33545782,3433342.270954564,29327402.175103143,67794140.94101273,0,1583272.4498758006,1850069.8210787636,122949909.06450325,64360798.67005816
2020-09-21,Danish Refugee Council,126383251.33545782,3433342.270954564,29327402.175103143,67794140.94101273,0,1583272.4498758006,1850069.8210787636,122949909.06450325,64360798.67005816
2020-09-28,Danish Refugee Council,126383251.33545782,3433342.270954564,29327402.175103143,67794140.94101273,0,1583272.4498758006,1850069.8210787636,122949909.06450325,64360798.67005816
2020-10-05,Danish Refugee Council,344296232.76885635,3655324.805455564,142644834.1605655,172389690.38894942,0,1583272.4498758006,2072052.3555797637,340640907.9634008,168734365.58349386
2020-10-12,Danish Refugee Council,344296232.76885635,3655324.805455564,142644834.1605655,172389690.38894942,0,1583272.4498758006,2072052.3555797637,340640907.9634008,168734365.58349386
2020-10-19,Danish Refugee Council,344296232.76885635,3655324.805455564,142644834.1605655,172389690.38894942,0,1583272.4498758006,2072052.3555797637,340640907.9634008,168734365.58349386
2020-10-26,Danish Refugee Council,344296232.76885635,3655324.805455564,142644834.1605655,172389690.38894942,0,1583272.4498758006,2072052.3555797637,340640907.9634008,168734365.58349386
2020-11-02,Danish Refugee Council,344296232.76885635,3655324.805455564,142644834.1605655,172389690.38894942,0,1583272.4498758006,2072052.3555797637,340640907.9634008,168734365.58349386
2020-11-09,Danish Refugee Council,344296232.76885635,3655324.805455564,142644834.1605655,172389690.38894942,0,1583272.4498758006,2072052.3555797637,340640907.9634008,168734365.58349386
2020-11-16,Danish Refugee Council,344296232.76885635,3655324.805455564,142644834.1605655,172389690.38894942,0,1583272.4498758006,2072052.3555797637,340640907.9634008,168734365.58349386
2020-11-23,Danish Refugee Council,344296232.76885635,3655324.805455564,142644834.1605655,172389690.38894942,0,1583272.4498758006,2072052.3555797637,340640907.9634008,168734365.58349386
2020-11-30,Danish Refugee Council,346424028.5004661,3655324.805455564,142644834.1605655,174517486.1205591,0,1583272.4498758006,2072052.3555797637,342768703.69501054,170862161.31510353
2020-12-07,Danish Refugee Council,346424028.5004661,3655324.805455564,142644834.1605655,174517486.1205591,0,1583272.4498758006,2072052.3555797637,342768703.69501054,170862161.31510353
2020-12-14,Danish Refugee Council,346424028.5004661,3655324.805455564,142644834.1605655,174517486.1205591,0,1583272.4498758006,2072052.3555797637,342768703.69501054,170862161.31510353
2020-12-21,Danish Refugee Council,346424028.5004661,3655324.805455564,142644834.1605655,174517486.1205591,0,1583272.4498758006,2072052.3555797637,342768703.69501054,170862161.31510353
2020-12-28,Danish Refugee Council,346424028.5004661,3655324.805455564,142644834.1605655,174517486.1205591,0,1583272.4498758006,2072052.3555797637,342768703.69501054,170862161.31510353
2021-01-04,Danish Refugee Council,346424028.5004661,3655324.805455564,142644834.1605655,174517486.1205591,0,1583272.4498758006,2072052.3555797637,342768703.69501054,170862161.31510353
2021-01-11,Danish Refugee Council,346424028.5004661,3655324.805455564,142644834.1605655,174517486.1205591,0,1583272.4498758006,2072052.3555797637,342768703.69501054,170862161.31510353
2021-01-18,Danish Refugee Council,346424028.5004661,3655324.805455564,142644834.1605655,174517486.1205591,0,1583272.4498758006,2072052.3555797637,342768703.69501054,170862161.31510353
2021-01-25,Danish Refugee Council,346424028.5004661,3655324.805455564,142644834.1605655,174517486.1205591,0,1583272.4498758006,2072052.3555797637,342768703.69501054,170862161.31510353
2021-02-01,Danish Refugee Council,346424028.5004661,3655324.805455564,142644834.1605655,174517486.1205591,0,1583272.4498758006,2072052.3555797637,342768703.69501054,170862161.31510353
2021-02-08,Danish Refugee Council,346424028.5004661,3655324.805455564,142644834.1605655,174517486.1205591,0,1583272.4498758006,2072052.3555797637,342768703.69501054,170862161.31510353
2020-12-31,Danish Refugee Council,346424028.5004661,3655324.805455564,142644834.1605655,174517486.1205591,0,1583272.4498758006,2072052.3555797637,342768703.69501054,170862161.31510353
2020-12-30,Danish Refugee Council,346424028.5004661,3655324.805455564,142644834.1605655,174517486.1205591,0,1583272.4498758006,2072052.3555797637,342768703.69501054,170862161.31510353
