id,source,destination,commit_date,total_value,paid_to_date,pc10,pc20,pc30,pc40,pc50,pc60,pc70,pc80,pc90,pc100,commit_updates,receiver_type
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2017/92054,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),NORWEGIAN REFUGEE COUNCIL (NOR),,0,15234.096276,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/91030,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),"GOAL, (IRL)",,0,12665.3664,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/91032,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),Cooperazione Internazionale (IT),,0,981.36,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/91044,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),WORLD HEALTH ORGANIZATION,,0,33816.0,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92047,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),ACTED (FR),,0,285084.0,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2018/92052,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),DANSK FLYGTNINGEHJAELP,,0,2632.56,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/91003,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),"DANSK RODE KORS, (DNK)",,0,54614.4,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/91004,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),"WORLD VISION, (DEU)",,0,116214.488375,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/91009,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),NORWEGIAN REFUGEE COUNCIL (NOR),,0,303436.0000000001,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/91012,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),DANSK FLYGTNINGEHJAELP,,0,173504.0,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/91013,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),Kirkens Nødhjelp,,0,144595.68992,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/91014,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),COMITE INTERNATIONAL DE LA CROIX-ROUGE (CICR),,0,637251.74064,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/91015,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),Pelastakaa Lapset - Rädda Barnen,,0,1158494.794749,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/91019,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),INTERNATIONAL ORGANIZATION FOR MIGRATION (INT),,0,1939690.1661099715,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/91020,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),The alliance for international medical action (FR),,0,448759.99999999994,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/91021,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),MRCA/ Relief International - France,,0,275829.642176,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/91025,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),Stichting Plan International Nederland,,0,47324.00000000001,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/91027,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),Oxfam Italia Onlus Associazione,,0,979.47,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/91029,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),"GOAL, (IRL)",,0,70504.49999999999,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/91031,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),WORLD FOOD PROGRAM,,0,311668.0,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/91032,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),UNICEF,,0,127901.42336,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92018,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),"UNITED NATIONS, OFFICE FOR THE COORDINATION OF HUMANITARIAN AFFAIRS",,0,564265.596,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92019,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),The alliance for international medical action (FR),,0,3553.8,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92020,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),UNICEF,,0,10943.218,,,,,,,,,,,0,
XI-IATI-EC_ECHO-ECHO/-AF/BUD/2019/92028,European Commission - DG European Civil Protection and Humanitarian Aid Operations (ECHO),NORWEGIAN REFUGEE COUNCIL (NOR),,0,211864.198852,,,,,,,,,,,0,
