date,org,total_inflow,total_outflow,inc_commitment,received,out_commitment,disbursed,expenditure,net_flow_total,net_cash
2020-01-06,United Nations High Commissioner for Refugees (UNHCR),592500.0,0,592500.0,0,0,0,0,592500.0,0
2020-01-13,United Nations High Commissioner for Refugees (UNHCR),592500.0,0,592500.0,0,0,0,0,592500.0,0
2020-01-20,United Nations High Commissioner for Refugees (UNHCR),592500.0,0,592500.0,0,0,0,0,592500.0,0
2020-01-27,United Nations High Commissioner for Refugees (UNHCR),592500.0,0,592500.0,0,0,0,0,592500.0,0
2020-02-03,United Nations High Commissioner for Refugees (UNHCR),592500.0,0,592500.0,0,0,0,0,592500.0,0
2020-02-10,United Nations High Commissioner for Refugees (UNHCR),592500.0,0,592500.0,0,0,0,0,592500.0,0
2020-02-17,United Nations High Commissioner for Refugees (UNHCR),1737818.6815999998,0,1737818.6815999998,0,0,0,0,1737818.6815999998,0
2020-02-24,United Nations High Commissioner for Refugees (UNHCR),1737818.6815999998,0,1737818.6815999998,0,0,0,0,1737818.6815999998,0
2020-03-02,United Nations High Commissioner for Refugees (UNHCR),31883918.681600004,0,31883918.681600004,0,0,0,0,31883918.681600004,0
2020-03-09,United Nations High Commissioner for Refugees (UNHCR),32353752.710600004,0,32353752.710600004,0,0,0,0,32353752.710600004,0
2020-03-16,United Nations High Commissioner for Refugees (UNHCR),113541752.71059997,0,113541752.71059997,0,0,0,0,113541752.71059997,0
2020-03-23,United Nations High Commissioner for Refugees (UNHCR),113541752.71059997,0,113541752.71059997,0,0,0,0,113541752.71059997,0
2020-03-30,United Nations High Commissioner for Refugees (UNHCR),113541752.71059997,0,113541752.71059997,0,0,0,0,113541752.71059997,0
2020-04-06,United Nations High Commissioner for Refugees (UNHCR),136686007.12704104,0,136686007.12704104,0,0,0,0,136686007.12704104,0
2020-04-13,United Nations High Commissioner for Refugees (UNHCR),148289704.0446109,0,148289704.0446109,0,0,0,0,148289704.0446109,0
2020-04-20,United Nations High Commissioner for Refugees (UNHCR),159113876.69976124,0,159113876.69976124,0,0,0,0,159113876.69976124,0
2020-04-27,United Nations High Commissioner for Refugees (UNHCR),392435874.9768594,0,392435874.9768594,0,0,0,0,392435874.9768594,0
2020-05-04,United Nations High Commissioner for Refugees (UNHCR),392435874.9768594,0,392435874.9768594,0,0,0,0,392435874.9768594,0
2020-05-11,United Nations High Commissioner for Refugees (UNHCR),400473994.4289005,0,400473994.4289005,0,0,0,0,400473994.4289005,0
2020-05-18,United Nations High Commissioner for Refugees (UNHCR),409913185.9569004,0,409913185.9569004,0,0,0,0,409913185.9569004,0
2020-05-25,United Nations High Commissioner for Refugees (UNHCR),411039874.9569004,0,411039874.9569004,0,0,0,0,411039874.9569004,0
2020-06-01,United Nations High Commissioner for Refugees (UNHCR),472512524.27040046,0,472512524.27040046,0,0,0,0,472512524.27040046,0
