iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,total_vaccinations_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
AFG,Asia,Afghanistan,2020-02-24,1.0,1.0,,,,,0.026000000000000002,0.026000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,8.33,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-02,1.0,0.0,0.0,,,0.0,0.026000000000000002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,27.78,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-09,7.0,2.0,0.857,,,0.0,0.18,0.051,0.022000000000000002,,,0.0,,,,,,,,,,,,,,,,,,,,,27.78,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-16,18.0,2.0,1.571,,,0.0,0.462,0.051,0.04,,,0.0,,,,,,,,,,,,,,,,,,,,,38.89,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-23,41.0,7.0,3.286,1.0,0.0,0.14300000000000002,1.053,0.18,0.084,0.026000000000000002,0.0,0.004,,,,,,,,,,,,,,,,,,,,,41.67,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-03-30,146.0,28.0,15.0,4.0,0.0,0.429,3.75,0.7190000000000001,0.385,0.10300000000000001,0.0,0.011000000000000001,1.45,,,,,,,,,,,,,,,,,,,,67.59,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-06,368.0,30.0,31.714000000000002,15.0,3.0,1.571,9.453,0.7709999999999999,0.815,0.385,0.077,0.04,1.42,,,,,,,,,,,,,,,,,,,,78.7,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-13,666.0,58.0,42.571000000000005,22.0,3.0,1.0,17.108,1.49,1.094,0.565,0.077,0.026000000000000002,1.4,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-20,1027.0,30.0,51.571000000000005,36.0,3.0,2.0,26.381999999999998,0.7709999999999999,1.325,0.925,0.077,0.051,1.39,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-04-27,1704.0,172.0,96.714,58.0,6.0,3.1430000000000002,43.773,4.418,2.484,1.49,0.154,0.081,1.51,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-05-04,2895.0,190.0,170.143,90.0,5.0,4.571000000000001,74.367,4.881,4.371,2.312,0.128,0.11699999999999999,1.49,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-05-11,4687.0,284.0,256.0,122.0,2.0,4.571000000000001,120.40100000000001,7.295,6.5760000000000005,3.134,0.051,0.11699999999999999,1.42,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-05-18,7073.0,408.0,340.85699999999997,173.0,3.0,7.2860000000000005,181.69299999999998,10.481,8.756,4.444,0.077,0.187,1.38,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-05-25,11176.0,591.0,586.143,220.0,1.0,6.7139999999999995,287.092,15.182,15.057,5.651,0.026000000000000002,0.172,1.29,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-06-01,15753.0,545.0,653.857,266.0,8.0,6.571000000000001,404.667,14.0,16.796,6.832999999999999,0.20600000000000002,0.16899999999999998,1.17,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-06-08,20920.0,575.0,738.143,373.0,12.0,15.286,537.398,14.770999999999999,18.962,9.582,0.308,0.39299999999999996,1.04,,,,,,,,,,,,,,,,,,,,84.26,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-06-15,25531.0,761.0,658.7139999999999,482.0,7.0,15.571,655.846,19.549,16.921,12.382,0.18,0.4,0.94,,,,,,,,,,,,,,,,,,,,78.7,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-06-22,29147.0,310.0,516.571,597.0,12.0,16.429000000000002,748.735,7.962999999999999,13.27,15.335999999999999,0.308,0.42200000000000004,0.8,,,,,,,,,,,,,,,,,,,,78.7,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-06-29,31228.0,271.0,297.286,740.0,12.0,20.429000000000002,802.192,6.962000000000001,7.6370000000000005,19.009,0.308,0.525,0.77,,,,,,,,,,,,,,,,,,,,78.7,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-07-06,33180.0,239.0,278.857,900.0,34.0,22.857,852.335,6.138999999999999,7.162999999999999,23.119,0.873,0.5870000000000001,0.77,,,,,,,,,,,,,,,,,,,,78.7,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-07-13,34595.0,154.0,202.143,1040.0,28.0,20.0,888.684,3.9560000000000004,5.193,26.715999999999998,0.7190000000000001,0.514,0.72,,,,,,,,,,,,,,,,,,,,78.7,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-07-20,35493.0,40.0,128.286,1185.0,2.0,20.714000000000002,911.752,1.028,3.295,30.441,0.051,0.532,0.71,,,,,,,,,,,,,,,,,,,,78.7,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-07-27,36253.0,106.0,108.571,1271.0,10.0,12.286,931.275,2.7230000000000003,2.7889999999999997,32.65,0.257,0.316,0.74,,,,,,,,,,,,,,,,,,,,78.7,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-08-03,36737.0,36.0,69.143,1290.0,4.0,2.714,943.7080000000001,0.925,1.776,33.138000000000005,0.10300000000000001,0.07,0.74,,,,,,,,,,,,,,,,,,,,78.7,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-08-10,37153.0,70.0,59.428999999999995,1329.0,8.0,5.571000000000001,954.395,1.798,1.527,34.14,0.20600000000000002,0.14300000000000002,0.85,,,,,,,,,,,,,,,,,,,,71.3,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-08-17,37667.0,77.0,73.429,1378.0,2.0,7.0,967.5980000000001,1.9780000000000002,1.886,35.398,0.051,0.18,0.85,,,,,,,,,,,,,,,,,,,,60.19,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-08-24,38045.0,55.0,54.0,1390.0,2.0,1.714,977.309,1.413,1.3869999999999998,35.707,0.051,0.044000000000000004,0.8,,,,,,,,,,,,,,,,,,,,48.15,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-08-31,38159.0,4.0,16.285999999999998,1403.0,0.0,1.857,980.237,0.10300000000000001,0.418,36.041,0.0,0.048,0.85,,,,,,,,,,,,,,,,,,,,21.3,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-09-07,38494.0,96.0,47.857,1416.0,3.0,1.857,988.8430000000001,2.4659999999999997,1.229,36.375,0.077,0.048,1.05,,,,,,,,,,,,,,,,,,,,21.3,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-09-14,38772.0,56.0,39.714,1427.0,6.0,1.571,995.9839999999999,1.439,1.02,36.657,0.154,0.04,1.04,,,,,,,,,,,,,,,,,,,,21.3,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-09-21,39074.0,30.0,43.143,1446.0,3.0,2.714,1003.742,0.7709999999999999,1.1079999999999999,37.145,0.077,0.07,1.01,,,,,,,,,,,,,,,,,,,,21.3,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-09-28,39239.0,12.0,23.570999999999998,1458.0,3.0,1.714,1007.98,0.308,0.606,37.453,0.077,0.044000000000000004,0.96,,,,,,,,,,,,,,,,,,,,28.7,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-10-05,39422.0,81.0,26.143,1468.0,4.0,1.429,1012.681,2.081,0.672,37.71,0.10300000000000001,0.037000000000000005,1.29,,,,,,,,,,,,,,,,,,,,25.0,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-10-12,39870.0,71.0,64.0,1481.0,2.0,1.857,1024.19,1.824,1.6440000000000001,38.044000000000004,0.051,0.048,1.27,,,,,,,,,,,,,,,,,,,,16.67,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-10-19,40287.0,87.0,59.571000000000005,1499.0,5.0,2.571,1034.902,2.235,1.53,38.507,0.128,0.066,1.26,,,,,,,,,,,,,,,,,,,,16.67,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-10-26,40937.0,104.0,92.85700000000001,1520.0,4.0,3.0,1051.599,2.6719999999999997,2.385,39.046,0.10300000000000001,0.077,1.21,,,,,,,,,,,,,,,,,,,,16.67,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-11-02,41633.0,132.0,99.429,1544.0,6.0,3.429,1069.478,3.391,2.5540000000000003,39.663000000000004,0.154,0.08800000000000001,1.17,,,,,,,,,,,,,,,,,,,,5.56,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-11-09,42297.0,138.0,94.85700000000001,1577.0,12.0,4.7139999999999995,1086.535,3.545,2.437,40.51,0.308,0.121,1.22,,,,,,,,,,,,,,,,,,,,8.33,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-11-16,43468.0,228.0,167.28599999999997,1635.0,15.0,8.286,1116.616,5.857,4.297,42.0,0.385,0.213,1.24,,,,,,,,,,,,,,,,,,,,8.33,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-11-23,44988.0,282.0,217.143,1702.0,12.0,9.571,1155.662,7.244,5.577999999999999,43.721000000000004,0.308,0.24600000000000002,1.13,,,,,,,,,,,,,,,,,,,,8.33,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-11-30,46274.0,158.0,183.71400000000003,1795.0,21.0,13.286,1188.697,4.059,4.718999999999999,46.11,0.539,0.341,1.0,,,,,,,,,,,,,,,,,,,,8.33,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-12-07,47516.0,210.0,177.429,1900.0,26.0,15.0,1220.6019999999999,5.395,4.558,48.808,0.6679999999999999,0.385,,,,,,,,,,,,,,,,,,,,,8.33,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-12-14,48718.0,191.0,171.71400000000003,1969.0,4.0,9.857000000000001,1251.479,4.906000000000001,4.4110000000000005,50.58,0.10300000000000001,0.253,,,,,,,,,,,,,,,,,,,,,8.33,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-12-21,50013.0,196.0,185.0,2082.0,15.0,16.143,1284.745,5.035,4.752,53.483000000000004,0.385,0.415,,,,,,,,,,,,,,,,,,,,,,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-12-28,51280.0,241.0,181.0,2174.0,14.0,13.142999999999999,1317.2920000000001,6.191,4.65,55.846000000000004,0.36,0.33799999999999997,,,,,,,,,,,,,,,,,,,,,,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AFG,Asia,Afghanistan,2020-12-30,51405.0,55.0,138.857,2181.0,2.0,9.142999999999999,1320.503,1.413,3.5669999999999997,56.026,0.051,0.235,,,,,,,,,,,,,,,,,,,,,,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AGO,Africa,Angola,2020-03-23,3.0,1.0,,,,,0.091,0.03,,,,,,,,,,,,,,,,,,,,,,,,,11.11,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
AGO,Africa,Angola,2020-03-30,7.0,0.0,0.5710000000000001,2.0,0.0,0.28600000000000003,0.213,0.0,0.017,0.061,0.0,0.009000000000000001,,,,,,,,,,,,,,,,,,,,,90.74,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
AGO,Africa,Angola,2020-04-06,16.0,2.0,1.286,2.0,0.0,0.0,0.48700000000000004,0.061,0.039,0.061,0.0,0.0,,,,,,,,,,,,,,,,,,,,,90.74,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
AGO,Africa,Angola,2020-04-13,19.0,0.0,0.429,2.0,0.0,0.0,0.578,0.0,0.013000000000000001,0.061,0.0,0.0,,,,,,,,,,,,,,,,,,,,,90.74,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
AGO,Africa,Angola,2020-04-20,24.0,0.0,0.7140000000000001,2.0,0.0,0.0,0.73,0.0,0.022000000000000002,0.061,0.0,0.0,,,,,,,,,,,,,,,,,,,,,90.74,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
AGO,Africa,Angola,2020-04-27,27.0,1.0,0.429,2.0,0.0,0.0,0.8220000000000001,0.03,0.013000000000000001,0.061,0.0,0.0,,,,,,,,,,,,,,,,,,,,,78.7,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
AGO,Africa,Angola,2020-05-04,35.0,0.0,1.143,2.0,0.0,0.0,1.065,0.0,0.035,0.061,0.0,0.0,,,,,,,,,,,,,,,,,,,,,78.7,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
AGO,Africa,Angola,2020-05-11,45.0,0.0,1.429,2.0,0.0,0.0,1.369,0.0,0.043,0.061,0.0,0.0,,,,,,,,,,,,,,,,,,,,,75.93,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
AGO,Africa,Angola,2020-05-18,50.0,2.0,0.7140000000000001,3.0,1.0,0.14300000000000002,1.521,0.061,0.022000000000000002,0.091,0.03,0.004,,,,,,,,,,,,,,,,,,,,,81.48,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
AGO,Africa,Angola,2020-05-25,70.0,1.0,2.8569999999999998,4.0,0.0,0.14300000000000002,2.13,0.03,0.087,0.122,0.0,0.004,,,,,,,,,,,,,,,,,,,,,81.48,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
AGO,Africa,Angola,2020-06-01,86.0,0.0,2.286,4.0,0.0,0.0,2.617,0.0,0.07,0.122,0.0,0.0,,,,,,,,,,,,,,,,,,,,,77.78,32866268.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
