actor,date,all_total,all_committed,all_paid,all_pc_paid,ngo_total,ngo_committed,ngo_paid,ngo_pc_paid,ngo_pc_of_total,ngo_pc_of_paid
European Commission's Humanitarian Aid and Civil Protection Department,1/6/2020,32414777,31260683,1154094,0.035603947,20639843,20639843,0,0,0.636741786,0
European Commission's Humanitarian Aid and Civil Protection Department,1/13/2020,119938486,118784392,1154094,0.009622383,108163552,108163552,0,0,0.901825224,0
European Commission's Humanitarian Aid and Civil Protection Department,1/20/2020,119938486,118784392,1154094,0.009622383,108163552,108163552,0,0,0.901825224,0
European Commission's Humanitarian Aid and Civil Protection Department,1/27/2020,119938486,118784392,1154094,0.009622383,108163552,108163552,0,0,0.901825224,0
European Commission's Humanitarian Aid and Civil Protection Department,2/3/2020,120016611,118862517,1154094,0.009616119,108163552,108163552,0,0,0.901238179,0
European Commission's Humanitarian Aid and Civil Protection Department,2/10/2020,120016611,118862517,1154094,0.009616119,108163552,108163552,0,0,0.901238179,0
European Commission's Humanitarian Aid and Civil Protection Department,2/17/2020,120016611,118862517,1154094,0.009616119,108163552,108163552,0,0,0.901238179,0
European Commission's Humanitarian Aid and Civil Protection Department,2/24/2020,155297757,154143663,1154094,0.007431492,143444698,143444698,0,0,0.923675272,0
European Commission's Humanitarian Aid and Civil Protection Department,3/2/2020,157225208,155572234,1652974,0.010513416,143943578,143444698,498880,0.003465802,0.915524806,0.30180753
European Commission's Humanitarian Aid and Civil Protection Department,3/9/2020,190997046,189344072,1652974,0.008654448,143943578,143444698,498880,0.003465802,0.753642954,0.30180753
European Commission's Humanitarian Aid and Civil Protection Department,3/16/2020,193598856,191945882,1652974,0.008538139,145187922,144689042,498880,0.003436098,0.749942045,0.30180753
European Commission's Humanitarian Aid and Civil Protection Department,3/23/2020,198047326,196394352,1652974,0.008346359,149636392,149137512,498880,0.003333948,0.75555876,0.30180753
European Commission's Humanitarian Aid and Civil Protection Department,3/30/2020,204495290,202842316,1652974,0.008083189,152690691,152191811,498880,0.003267259,0.746670943,0.30180753
European Commission's Humanitarian Aid and Civil Protection Department,4/6/2020,214169717,212516743,1652974,0.007718057,162365118,161866238,498880,0.003072581,0.758114267,0.30180753
European Commission's Humanitarian Aid and Civil Protection Department,4/13/2020,215496151,213843177,1652974,0.00767055,163691552,163192672,498880,0.003047683,0.759603136,0.30180753
European Commission's Humanitarian Aid and Civil Protection Department,4/20/2020,220844688,219191714,1652974,0.00748478,163998211,163499331,498880,0.003041984,0.742595226,0.30180753
European Commission's Humanitarian Aid and Civil Protection Department,4/27/2020,226087110,224434136,1652974,0.007311226,169240633,168741753,498880,0.002947755,0.74856383,0.30180753
European Commission's Humanitarian Aid and Civil Protection Department,5/4/2020,238759948,234558432,4201516,0.01759724,170244408,169745528,498880,0.002930375,0.713035873,0.118738094
European Commission's Humanitarian Aid and Civil Protection Department,5/11/2020,246863675,242662159,4201516,0.01701958,174461056,173962176,498880,0.002859549,0.706710114,0.118738094
European Commission's Humanitarian Aid and Civil Protection Department,5/18/2020,264698094,260496578,4201516,0.015872861,174461056,173962176,498880,0.002859549,0.659094493,0.118738094
European Commission's Humanitarian Aid and Civil Protection Department,5/25/2020,268688642,263428174,5260468,0.019578304,174461056,173962176,498880,0.002859549,0.64930566,0.094835669
European Commission's Humanitarian Aid and Civil Protection Department,6/1/2020,271929684,266669216,5260468,0.019344957,177702098,177203218,498880,0.002807395,0.653485472,0.094835669
European Commission's Humanitarian Aid and Civil Protection Department,6/8/2020,279080183,273819715,5260468,0.018849307,177702098,177203218,498880,0.002807395,0.636742086,0.094835669
European Commission's Humanitarian Aid and Civil Protection Department,6/15/2020,281281041,276020573,5260468,0.018701822,179902956,179404076,498880,0.002773051,0.639584365,0.094835669
European Commission's Humanitarian Aid and Civil Protection Department,6/22/2020,290749880,283726044,7023836,0.024157657,187608427,187109547,498880,0.002659156,0.645257109,0.071026715
European Commission's Humanitarian Aid and Civil Protection Department,6/29/2020,293425741,286401905,7023836,0.023937355,188049928,187551048,498880,0.002652912,0.640877407,0.071026715
European Commission's Humanitarian Aid and Civil Protection Department,7/6/2020,295307559,288283723,7023836,0.023784816,188227201,187728321,498880,0.002650414,0.637393779,0.071026715
European Commission's Humanitarian Aid and Civil Protection Department,7/13/2020,302986455,292603157,10383298,0.034269842,189906932,189408052,498880,0.002626971,0.62678357,0.048046391
European Commission's Humanitarian Aid and Civil Protection Department,7/20/2020,306056643,295673345,10383298,0.033926066,190874847,190375967,498880,0.00261365,0.623658566,0.048046391
European Commission's Humanitarian Aid and Civil Protection Department,7/27/2020,317860763,307477465,10383298,0.032666183,193708311,193209431,498880,0.002575419,0.609412465,0.048046391
European Commission's Humanitarian Aid and Civil Protection Department,8/3/2020,335828350,325240660,10587690,0.031527088,205766807,205063535,703272,0.003417811,0.612714224,0.066423554
European Commission's Humanitarian Aid and Civil Protection Department,8/10/2020,340416980,329829290,10587690,0.031102121,205766807,205063535,703272,0.003417811,0.60445518,0.066423554
European Commission's Humanitarian Aid and Civil Protection Department,8/17/2020,368429491,353129228,15300263,0.041528334,223298575,222595303,703272,0.003149469,0.60608225,0.0459647
European Commission's Humanitarian Aid and Civil Protection Department,8/24/2020,370196275,354896012,15300263,0.041330138,223298575,222595303,703272,0.003149469,0.603189686,0.0459647
European Commission's Humanitarian Aid and Civil Protection Department,8/31/2020,380023131,364722868,15300263,0.040261399,233125431,232422159,703272,0.003016711,0.613450635,0.0459647
European Commission's Humanitarian Aid and Civil Protection Department,9/7/2020,386619246,369939937,16679309,0.043141435,236955555,235625010,1330545,0.005615167,0.612891255,0.07977219
European Commission's Humanitarian Aid and Civil Protection Department,9/14/2020,387804784,371125475,16679309,0.043009549,237252467,235921922,1330545,0.00560814,0.611783239,0.07977219
European Commission's Humanitarian Aid and Civil Protection Department,9/21/2020,395192232,372588745,22603487,0.057196182,238715737,237385192,1330545,0.005573763,0.604049669,0.05886459
European Commission's Humanitarian Aid and Civil Protection Department,9/28/2020,398686475,372588745,26097730,0.065459281,242209980,237385192,4824788,0.019919856,0.607519932,0.184873857
European Commission's Humanitarian Aid and Civil Protection Department,10/5/2020,398686475,372588745,26097730,0.065459281,242209980,237385192,4824788,0.019919856,0.607519932,0.184873857
European Commission's Humanitarian Aid and Civil Protection Department,10/12/2020,403705379,377607649,26097730,0.064645485,242209980,237385192,4824788,0.019919856,0.599967185,0.184873857
European Commission's Humanitarian Aid and Civil Protection Department,10/19/2020,404644346,378546616,26097730,0.064495477,243148947,238324159,4824788,0.019842932,0.600895452,0.184873857
European Commission's Humanitarian Aid and Civil Protection Department,10/26/2020,406502322,378546616,27955706,0.068771332,243148947,238324159,4824788,0.019842932,0.598148974,0.172586877
European Commission's Humanitarian Aid and Civil Protection Department,11/2/2020,410030124,378546616,31483508,0.076783402,243148947,238324159,4824788,0.019842932,0.593002642,0.153248107
European Commission's Humanitarian Aid and Civil Protection Department,11/9/2020,410030124,378546616,31483508,0.076783402,243148947,238324159,4824788,0.019842932,0.593002642,0.153248107
European Commission's Humanitarian Aid and Civil Protection Department,11/16/2020,410030124,378546616,31483508,0.076783402,243148947,238324159,4824788,0.019842932,0.593002642,0.153248107
European Commission's Humanitarian Aid and Civil Protection Department,11/23/2020,410030124,378546616,31483508,0.076783402,243148947,238324159,4824788,0.019842932,0.593002642,0.153248107
European Commission's Humanitarian Aid and Civil Protection Department,11/30/2020,410911440,379427932,31483508,0.076618719,244030263,239205475,4824788,0.019771269,0.593875564,0.153248107
European Commission's Humanitarian Aid and Civil Protection Department,12/7/2020,410911440,379427932,31483508,0.076618719,244030263,239205475,4824788,0.019771269,0.593875564,0.153248107
European Commission's Humanitarian Aid and Civil Protection Department,12/14/2020,410911440,379427932,31483508,0.076618719,244030263,239205475,4824788,0.019771269,0.593875564,0.153248107
European Commission's Humanitarian Aid and Civil Protection Department,12/21/2020,410911440,379427932,31483508,0.076618719,244030263,239205475,4824788,0.019771269,0.593875564,0.153248107
European Commission's Humanitarian Aid and Civil Protection Department,12/28/2020,410911440,379427932,31483508,0.076618719,244030263,239205475,4824788,0.019771269,0.593875564,0.153248107
European Commission's Humanitarian Aid and Civil Protection Department,12/31/2020,410911440,379427932,31483508,0.076618719,244030263,239205475,4824788,0.019771269,0.593875564,0.153248107
European Commission's Humanitarian Aid and Civil Protection Department,12/30/2020,410911440,379427932,31483508,0.076618719,244030263,239205475,4824788,0.019771269,0.593875564,0.153248107
"Denmark, Government of",1/6/2020,1657001,1657001,0,0,0,0,0,0,0,0
"Denmark, Government of",1/13/2020,1657001,1657001,0,0,0,0,0,0,0,0
"Denmark, Government of",1/20/2020,1657001,1657001,0,0,0,0,0,0,0,0
"Denmark, Government of",1/27/2020,1657001,1657001,0,0,0,0,0,0,0,0
"Denmark, Government of",2/3/2020,1657001,1657001,0,0,0,0,0,0,0,0
"Denmark, Government of",2/10/2020,1657001,1657001,0,0,0,0,0,0,0,0
"Denmark, Government of",2/17/2020,1657001,1657001,0,0,0,0,0,0,0,0
