actor,date,all_total,all_committed,all_paid,all_pc_paid,ngo_total,ngo_committed,ngo_paid,ngo_pc_paid,ngo_pc_of_total,ngo_pc_of_paid
European Commission's Humanitarian Aid and Civil Protection Department,2020-12-31,410911440,379427932,31483508,0.076618719,244030263,239205475,4824788,0.019771268999999998,0.593875564,0.153248107
"Denmark, Government of",2020-12-31,112604462,84905767,27698695,0.245982215,63495227,60694943,2800284,0.044102275999999996,0.563878428,0.10109804800000001
"Canada, Government of",2020-12-31,73013077,5251217,67761860,0.9280784040000001,3178420,1307894,1870526,0.588508127,0.043532202,0.027604407999999997
"Germany, Government of",2020-12-31,900836378,769261662,131574716,0.146058396,137369970,128395102,8974868,0.06533355099999999,0.152491588,0.06821119
"Estonia, Government of",2020-12-31,136628,136628,0,0.0,0,0,0,0.0,0.0,0.0
Central Emergency Response Fund,2020-12-31,238673912,135270783,103403129,0.43324018200000003,104803955,98262769,6541186,0.062413542,0.439109386,0.063259072
"Sweden, Government of",2020-12-31,27662202,14902591,12759611,0.461265195,5582797,4550262,1032535,0.184949408,0.201820412,0.080922138
"Ireland, Government of",2020-12-31,20501310,7865545,12635765,0.616339395,2171816,2103114,68702,0.031633435,0.105935474,0.005437106
"Azerbaijan, Government of",2020-12-31,9512616,9512616,0,0.0,0,0,0,0.0,0.0,0.0
"China, Government of",2020-12-31,36053994,25953994,10100000,0.280135399,0,0,0,0.0,0.0,0.0
Afghanistan Humanitarian Fund,2020-12-31,33681060,670472,33010588,0.9800935009999999,22627342,670472,21956870,0.9703689459999999,0.671812051,0.665146286
Bill and Melinda Gates Foundation,2020-12-31,16177084,16177084,0,0.0,0,0,0,0.0,0.0,0.0
"Czech Republic, Government of",2020-12-31,1195616,258176,937440,0.784064449,817439,0,817439,1.0,0.6836969390000001,0.871990741
"Italy, Government of",2020-12-31,16844438,15624118,1220320,0.072446466,10431697,10431697,0,0.0,0.6192962329999999,0.0
"Australia, Government of",2020-12-31,48899046,26589223,22309823,0.4562425,0,0,0,0.0,0.0,0.0
"New Zealand, Government of",2020-12-31,14731930,3953854,10778076,0.731613305,0,0,0,0.0,0.0,0.0
"Norway, Government of",2020-12-31,40477485,22652456,17825029,0.440368985,3259593,0,3259593,1.0,0.08052854599999999,0.18286607
"Korea, Republic of, Government of",2020-12-31,17909380,6309380,11600000,0.647705281,0,0,0,0.0,0.0,0.0
"Switzerland, Government of",2020-12-31,72890808,40235769,32655039,0.44799941,27213623,27213623,0,0.0,0.373347803,0.0
Vital Strategies,2020-12-31,1733923,1733923,0,0.0,0,0,0,0.0,0.0,0.0
"Slovakia, Government of",2020-12-31,274796,220507,54289,0.19756110000000002,0,0,0,0.0,0.0,0.0
Food & Agriculture Organization of the United Nations,2020-12-31,3696484,0,3696484,1.0,336072,0,336072,1.0,0.090916666,0.090916666
"United Kingdom, Government of",2020-12-31,406651139,260953407,145697732,0.358286792,43170105,23009366,20160739,0.467006948,0.106160049,0.138373733
World Bank,2020-12-31,196599394,80944934,115654460,0.588274753,0,0,0,0.0,0.0,0.0
"Japan, Government of",2020-12-31,701098473,372942849,328155624,0.468059248,18274944,0,18274944,1.0,0.026066159,0.05568987
"Luxembourg, Government of",2020-12-31,7098066,2731298,4366768,0.615205325,1666442,1497789,168653,0.10120544199999999,0.234774092,0.038621928
King Baudouin Foundation.,2020-12-31,3250000,3250000,0,0.0,0,0,0,0.0,0.0,0.0
"United States of America, Government of",2020-12-31,1017297093,477487905,539809188,0.530630817,263915798,195841829,68073969,0.257938212,0.25942844,0.126107466
"Austria, Government of",2020-12-31,4014981,2171553,1843428,0.459137416,0,0,0,0.0,0.0,0.0
"Saudi Arabia (Kingdom of), Government of",2020-12-31,288914114,111010000,177904114,0.6157681660000001,5018000,0,5018000,1.0,0.017368483,0.028206206
"Kuwait, Government of",2020-12-31,66124202,0,66124202,1.0,10370384,0,10370384,1.0,0.156831896,0.156831896
"Holy See, Government of",2020-12-31,139220,111720,27500,0.19752909100000002,0,0,0,0.0,0.0,0.0
Solidarity Response Fund,2020-12-31,208826189,181148184,27678005,0.132540871,0,0,0,0.0,0.0,0.0
Sudan Humanitarian Fund,2020-12-31,21743418,0,21743418,1.0,17548540,0,17548540,1.0,0.8070736620000001,0.8070736620000001
occupied Palestinian territory Humanitarian Fund,2020-12-31,13012973,0,13012973,1.0,7962973,0,7962973,1.0,0.61192573,0.61192573
"Qatar, Government of",2020-12-31,30632831,5799709,24833122,0.81067016,799709,799709,0,0.0,0.026106271,0.0
"Singapore, Government of",2020-12-31,500000,500000,0,0.0,0,0,0,0.0,0.0,0.0
"Lithuania, Government of",2020-12-31,483635,483635,0,0.0,370513,370513,0,0.0,0.766100468,0.0
Private (individuals & organizations),2020-12-31,92561046,0,92561046,1.0,36839768,0,36839768,1.0,0.398005096,0.398005096
OPEC Fund for International Development,2020-12-31,1500000,1500000,0,0.0,0,0,0,0.0,0.0,0.0
"Liechtenstein, Government of",2020-12-31,626954,310238,316716,0.505166248,0,0,0,0.0,0.0,0.0
"Russian Federation, Government of",2020-12-31,1100000,1000000,100000,0.090909091,0,0,0,0.0,0.0,0.0
"Kazakhstan, Government of",2020-12-31,6000000,0,6000000,1.0,0,0,0,0.0,0.0,0.0
United Nations Children's Fund,2020-12-31,6202610,2210281,3992329,0.643653075,3687269,2179997,1507272,0.408777336,0.594470554,0.377542031
Democratic Republic of the Congo Humanitarian Fund,2020-12-31,13696027,3780077,9915950,0.724001931,5332477,3780077,1552400,0.291121743,0.389344808,0.156555852
Myanmar Humanitarian Fund,2020-12-31,7529469,4339874,3189595,0.42361486600000003,4347888,4339874,8014,0.001843194,0.577449485,0.002512545
Central African Republic Humanitarian Fund,2020-12-31,12789314,4129948,8659366,0.677078223,12019981,4129948,7890033,0.6564097729999999,0.93984564,0.911155967
Education Cannot Wait Fund,2020-12-31,14308666,0,14308666,1.0,6730000,0,6730000,1.0,0.470344335,0.470344335
Asian Development Bank,2020-12-31,40499720,999735,39499985,0.975315015,0,0,0,0.0,0.0,0.0
UNICEF National Committee/Switzerland,2020-12-31,532208,0,532208,1.0,59447,0,59447,1.0,0.11169880900000001,0.11169880900000001
UNICEF Croatia,2020-12-31,134858,0,134858,1.0,114834,0,114834,1.0,0.851517893,0.851517893
UNICEF National Committee/Indonesia,2020-12-31,250000,0,250000,1.0,0,0,0,0.0,0.0,0.0
US Fund for UNICEF,2020-12-31,26560499,75330,26485169,0.997163833,22849817,0,22849817,1.0,0.8602932120000001,0.862740087
"Malta, Government of",2020-12-31,55521,0,55521,1.0,0,0,0,0.0,0.0,0.0
UNICEF National Committee/United Kingdom,2020-12-31,13467527,0,13467527,1.0,7922719,0,7922719,1.0,0.588283135,0.588283135
Ukraine Humanitarian Fund,2020-12-31,6026078,1750000,4276078,0.7095955279999999,5886081,1750000,4136081,0.702688427,0.97676814,0.967260419
"Portugal, Government of",2020-12-31,2365651,1181485,1184166,0.5005666520000001,1005429,1005429,0,0.0,0.425011551,0.0
"Finland, Government of",2020-12-31,28706471,22591109,6115362,0.213030783,2982238,2982238,0,0.0,0.10388730800000001,0.0
European Commission,2020-12-31,150688701,119073991,31614710,0.209801463,1103753,0,1103753,1.0,0.007324723000000001,0.03491264
World Food Programme,2020-12-31,2539549,0,2539549,1.0,1842952,0,1842952,1.0,0.725700508,0.725700508
United Nations Joint Programme on HIV/AIDS,2020-12-31,31223,0,31223,1.0,0,0,0,0.0,0.0,0.0
United Nations High Commissioner for Refugees,2020-12-31,1817347,0,1817347,1.0,1810000,0,1810000,1.0,0.9959572940000001,0.9959572940000001
United Nations Population Fund,2020-12-31,8890522,2974410,5916112,0.665440342,1347539,0,1347539,1.0,0.15157029,0.227774423
World Health Organization,2020-12-31,1127480,0,1127480,1.0,0,0,0,0.0,0.0,0.0
United Nations Development Programme,2020-12-31,6249675,970874,5278801,0.8446520820000001,108250,0,108250,1.0,0.017320901,0.020506551
Somalia Humanitarian Fund,2020-12-31,3903974,2603480,1300494,0.333120559,0,0,0,0.0,0.0,0.0
UN Multi-Partner Trust Fund for Sustaining Peace in Colombia,2020-12-31,4627849,4627849,0,0.0,0,0,0,0.0,0.0,0.0
UNICEF National Committee/Sweden,2020-12-31,1616374,0,1616374,1.0,985449,0,985449,1.0,0.609666451,0.609666451
"Monaco, Government of",2020-12-31,628397,527942,100455,0.159859134,0,0,0,0.0,0.0,0.0
"France, Government of",2020-12-31,33491582,24426116,9065466,0.270678943,14303121,13737510,565611,0.039544586,0.427066151,0.062391829
"Slovenia, Government of",2020-12-31,584950,540307,44643,0.076319344,486018,486018,0,0.0,0.830871015,0.0
"Netherlands, Government of",2020-12-31,35546294,31282106,4264188,0.119961535,19899639,15905983,3993656,0.200689872,0.55982317,0.9365572059999999
UNICEF National Committee/Denmark,2020-12-31,2903424,0,2903424,1.0,2416611,0,2416611,1.0,0.832331413,0.832331413
Novartis,2020-12-31,499690,499690,0,0.0,0,0,0,0.0,0.0,0.0
African Development Bank,2020-12-31,35699127,12129882,23569245,0.660219086,0,0,0,0.0,0.0,0.0
GAVI Alliance,2020-12-31,6436623,6436623,0,0.0,0,0,0,0.0,0.0,0.0
"Viet Nam, Government of",2020-12-31,50000,50000,0,0.0,0,0,0,0.0,0.0,0.0
unknown,2020-12-31,7155762,899438,6256324,0.874305769,5139753,624249,4515504,0.878544942,0.71826774,0.721750344
"Algeria, Government of",2020-12-31,0,0,0,0.0,0,0,0,0.0,0.0,0.0
Deutsche Gesellschaft für Internationale Zusammenarbeit,2020-12-31,1051011,1051011,0,0.0,0,0,0,0.0,0.0,0.0
"Cote d'Ivoire, Government of",2020-12-31,439351,439351,0,0.0,0,0,0,0.0,0.0,0.0
"Poland, Government of",2020-12-31,390421,0,390421,1.0,0,0,0,0.0,0.0,0.0
UNICEF National Committee/Hong Kong,2020-12-31,311712,0,311712,1.0,289552,0,289552,1.0,0.9289087359999999,0.9289087359999999
"United Arab Emirates, Government of",2020-12-31,288987383,10578682,278408701,0.9633939659999999,38364678,7078682,31285996,0.815489602,0.132755547,0.112374347
UNICEF National Committee/Netherlands,2020-12-31,1245120,0,1245120,1.0,1245120,0,1245120,1.0,1.0,1.0
UNICEF National Committee/France,2020-12-31,1096112,0,1096112,1.0,677608,0,677608,1.0,0.6181923020000001,0.6181923020000001
UNICEF National Committee/Australia,2020-12-31,2212190,380467,1831723,0.8280134170000001,38609,0,38609,1.0,0.017452841,0.021077969
South Sudan Humanitarian Fund,2020-12-31,14752758,4996120,9756638,0.661343323,9753258,4996120,4757138,0.48774860700000006,0.661114213,0.48757963600000004
Pakistan Humanitarian Fund,2020-12-31,3947058,2100195,1846863,0.46790875600000004,3547253,2100195,1447058,0.407937635,0.898708101,0.783522113
Nigeria Humanitarian Fund,2020-12-31,5177192,1404193,3772999,0.728773242,3914785,1254835,2659950,0.6794626009999999,0.756159903,0.704996211
UNICEF National Committee/Germany,2020-12-31,5624903,0,5624903,1.0,5327903,0,5327903,1.0,0.947199089,0.947199089
"Cyprus, Government of",2020-12-31,110375,110375,0,0.0,0,0,0,0.0,0.0,0.0
"Latvia, Government of",2020-12-31,108578,108578,0,0.0,0,0,0,0.0,0.0,0.0
"Belgium, Government of",2020-12-31,28589494,26715222,1874272,0.065558068,8469894,8469894,0,0.0,0.296258968,0.0
UN COVID-19 Response and Recovery Fund,2020-12-31,26289184,7295223,18993961,0.7225009720000001,0,0,0,0.0,0.0,0.0
"Iceland, Government of",2020-12-31,1066562,148006,918556,0.8612307579999999,0,0,0,0.0,0.0,0.0
"Spain, Government of",2020-12-31,17737350,12576096,5161254,0.29098224899999997,97161,54585,42576,0.43820051299999996,0.005477763,0.008249158000000001
Catholic Organisation for Relief and Development Aid,2020-12-31,1165284,0,1165284,1.0,1165284,0,1165284,1.0,1.0,1.0
Start Fund,2020-12-31,363442,209365,154077,0.423938345,363442,209365,154077,0.423938345,1.0,1.0
Susan Thompson Buffet Foundation,2020-12-31,15105294,15105294,0,0.0,0,0,0,0.0,0.0,0.0
"Croatia, Government of",2020-12-31,1374110,1374110,0,0.0,0,0,0,0.0,0.0,0.0
UNICEF National Committee/Japan,2020-12-31,6208783,0,6208783,1.0,223540,0,223540,1.0,0.036003835,0.036003835
PandemicTech,2020-12-31,20000,20000,0,0.0,0,0,0,0.0,0.0,0.0
"Serbia, Government of",2020-12-31,1103753,1103753,0,0.0,0,0,0,0.0,0.0,0.0
Alwaleed Foundation,2020-12-31,10000000,10000000,0,0.0,0,0,0,0.0,0.0,0.0
Pacific Island Health Officers’ Association,2020-12-31,500000,500000,0,0.0,0,0,0,0.0,0.0,0.0
UNICEF National Committee/Austria,2020-12-31,16123,0,16123,1.0,16123,0,16123,1.0,1.0,1.0
UNICEF National Committee/Belgium,2020-12-31,546633,0,546633,1.0,546633,0,546633,1.0,1.0,1.0
UNICEF National Committee/Canada,2020-12-31,6096291,0,6096291,1.0,848461,0,848461,1.0,0.139176591,0.139176591
UNICEF National Committee/Finland,2020-12-31,885208,0,885208,1.0,885208,0,885208,1.0,1.0,1.0
Ethiopia Humanitarian Fund,2020-12-31,5994539,350203,5644336,0.9415796609999999,3283082,0,3283082,1.0,0.547678812,0.581659561
UNICEF National Committee/Italy,2020-12-31,22527,0,22527,1.0,22527,0,22527,1.0,1.0,1.0
Nous Cims,2020-12-31,55188,0,55188,1.0,55188,0,55188,1.0,1.0,1.0
UNICEF National Committee/Spain,2020-12-31,1881737,0,1881737,1.0,1881737,0,1881737,1.0,1.0,1.0
UNICEF National Committee/Turkey,2020-12-31,24809,0,24809,1.0,24809,0,24809,1.0,1.0,1.0
Lebanon Humanitarian Fund,2020-12-31,22731835,18883494,3848341,0.16929302,22731835,18883494,3848341,0.16929302,1.0,1.0
UNICEF National Committee/New Zealand,2020-12-31,156336,0,156336,1.0,0,0,0,0.0,0.0,0.0
Inter-American Development Bank,2020-12-31,749847,0,749847,1.0,0,0,0,0.0,0.0,0.0
"Bulgaria, Government of",2020-12-31,111982,111982,0,0.0,0,0,0,0.0,0.0,0.0
ActionAid International,2020-12-31,64233,0,64233,1.0,64233,0,64233,1.0,1.0,1.0
Iraq Humanitarian Fund,2020-12-31,7839476,998248,6841228,0.872663938,5269477,998248,4271229,0.810560327,0.6721720940000001,0.624336596
International Organization for Migration,2020-12-31,2224379,1493487,730892,0.328582494,1662125,1493487,168638,0.10145927699999999,0.747231025,0.230729027
Jersey Overseas Aid,2020-12-31,185414,0,185414,1.0,0,0,0,0.0,0.0,0.0
"Bangladesh, Government of",2020-12-31,6463207,50000,6413207,0.992263902,0,0,0,0.0,0.0,0.0
The Nando and Elsa Peretti Foundation,2020-12-31,34091,0,34091,1.0,0,0,0,0.0,0.0,0.0
UNICEF National Committee/Poland,2020-12-31,25069,0,25069,1.0,25069,0,25069,1.0,1.0,1.0
UNICEF National Committee/Luxembourg,2020-12-31,966912,0,966912,1.0,437500,0,437500,1.0,0.45247137299999995,0.45247137299999995
Malawi SDG Acceleration Fund,2020-12-31,90000,0,90000,1.0,0,0,0,0.0,0.0,0.0
UNICEF Brazil,2020-12-31,92007,0,92007,1.0,0,0,0,0.0,0.0,0.0
Swiss Solidarity,2020-12-31,1810243,1810243,0,0.0,1810243,1810243,0,0.0,1.0,0.0
United Methodist Church,2020-12-31,10000,10000,0,0.0,0,0,0,0.0,0.0,0.0
OXFAM,2020-12-31,20017,0,20017,1.0,20017,0,20017,1.0,1.0,1.0
Red Crescent Society of the United Arab Emirates,2020-12-31,9424000,0,9424000,1.0,9424000,0,9424000,1.0,1.0,1.0
Big Heart Foundation,2020-12-31,400000,0,400000,1.0,0,0,0,0.0,0.0,0.0
Yemen Humanitarian Fund,2020-12-31,24601051,0,24601051,1.0,7803188,0,7803188,1.0,0.317189213,0.317189213
Action Contre la Faim,2020-12-31,148105,0,148105,1.0,148105,0,148105,1.0,1.0,1.0
Islamic Development Bank,2020-12-31,38037289,31831789,6205500,0.163142542,0,0,0,0.0,0.0,0.0
UNDP Administered Trust Fund,2020-12-31,846620,846620,0,0.0,0,0,0,0.0,0.0,0.0
European Union trust fund Bekou in CAR,2020-12-31,2369668,0,2369668,1.0,0,0,0,0.0,0.0,0.0
KFW Development,2020-12-31,2014218,2014218,0,0.0,0,0,0,0.0,0.0,0.0
ACT Alliance / Lutheran World Relief,2020-12-31,346827,0,346827,1.0,346827,0,346827,1.0,1.0,1.0
European Commission EuropeAid Development and Cooperation,2020-12-31,3374406,1771081,1603325,0.475142884,1603325,0,1603325,1.0,0.475142884,1.0
"Cameroon, Government of",2020-12-31,1634718,0,1634718,1.0,1634718,0,1634718,1.0,1.0,1.0
United Nations Human Settlements Programme (UN-HABITAT),2020-12-31,99959,0,99959,1.0,0,0,0,0.0,0.0,0.0
UN Women,2020-12-31,123126,0,123126,1.0,0,0,0,0.0,0.0,0.0
"United Nations Educational, Scientific and Cultural Organization",2020-12-31,4378614,60000,4318614,0.986297034,17000,0,17000,1.0,0.0038825070000000003,0.0039364479999999995
United Nations Office for Project Services,2020-12-31,400000,0,400000,1.0,0,0,0,0.0,0.0,0.0
ChildFund Korea,2020-12-31,50000,0,50000,1.0,50000,0,50000,1.0,1.0,1.0
Taiwan International Cooperation and Development Fund,2020-12-31,200000,200000,0,0.0,200000,200000,0,0.0,1.0,0.0
Stichting Vluchteling,2020-12-31,226559,0,226559,1.0,226559,0,226559,1.0,1.0,1.0
ZOA,2020-12-31,117371,0,117371,1.0,117371,0,117371,1.0,1.0,1.0
"Chad, Government of",2020-12-31,22000000,0,22000000,1.0,0,0,0,0.0,0.0,0.0
The Pacific Community (former South Pacific Commission),2020-12-31,528886,0,528886,1.0,0,0,0,0.0,0.0,0.0
UNICEF National Committee/Czech Republic,2020-12-31,76066,0,76066,1.0,76066,0,76066,1.0,1.0,1.0
UNICEF National Committee/Andorra,2020-12-31,34130,0,34130,1.0,34130,0,34130,1.0,1.0,1.0
UNICEF National Committee/Norway,2020-12-31,461655,0,461655,1.0,461655,0,461655,1.0,1.0,1.0
Qatar Charity,2020-12-31,19682828,17316984,2365844,0.12019837800000001,19682828,17316984,2365844,0.12019837800000001,1.0,1.0
Office for the Coordination of Humanitarian Affairs,2020-12-31,450000,0,450000,1.0,450000,0,450000,1.0,1.0,1.0
Syrian Arab Republic Humanitarian Fund,2020-12-31,632691,0,632691,1.0,259779,0,259779,1.0,0.41059379700000004,0.41059379700000004
Caritas Australia,2020-12-31,75000,0,75000,1.0,75000,0,75000,1.0,1.0,1.0
Trocaire,2020-12-31,17544,0,17544,1.0,17544,0,17544,1.0,1.0,1.0
Catholic Agency for Overseas Development,2020-12-31,109961,0,109961,1.0,109961,0,109961,1.0,1.0,1.0
United Nations Mission in South Sudan,2020-12-31,4000,4000,0,0.0,4000,4000,0,0.0,1.0,0.0
Dutch Relief Alliance,2020-12-31,921769,0,921769,1.0,921769,0,921769,1.0,1.0,1.0
"Global Fund to Fight AIDS, Tuberculosis and Malaria",2020-12-31,300000,0,300000,1.0,0,0,0,0.0,0.0,0.0
ChildFund International,2020-12-31,100000,0,100000,1.0,100000,0,100000,1.0,1.0,1.0
Plan International,2020-12-31,178278,30000,148278,0.831723488,178278,30000,148278,0.831723488,1.0,1.0
Habitat for Humanity International,2020-12-31,63300,0,63300,1.0,63300,0,63300,1.0,1.0,1.0
United Nations,2020-12-31,9409214,9409214,0,0.0,0,0,0,0.0,0.0,0.0
Crown Agents,2020-12-31,100000,0,100000,1.0,100000,0,100000,1.0,1.0,1.0
Solidarités International,2020-12-31,106564,0,106564,1.0,106564,0,106564,1.0,1.0,1.0
The Center for Disaster Philanthropy,2020-12-31,250000,250000,0,0.0,250000,250000,0,0.0,1.0,0.0
AGIR Foundation,2020-12-31,58754,0,58754,1.0,58754,0,58754,1.0,1.0,1.0
Swiss Development Cooperation/Swiss Humanitarian Aid,2020-12-31,2510342,2327506,182836,0.07283310400000001,2390342,2207506,182836,0.076489473,0.952197748,1.0
Clinton Health Access Initiative,2020-12-31,243761,243761,0,0.0,0,0,0,0.0,0.0,0.0
"Catholic Agency for Overseas Development,Trocaire",2020-12-31,18890,0,18890,1.0,18890,0,18890,1.0,1.0,1.0
Secours Catholique – Caritas France,2020-12-31,15000,0,15000,1.0,15000,0,15000,1.0,1.0,1.0
Save the Children,2020-12-31,1000000,0,1000000,1.0,1000000,0,1000000,1.0,1.0,1.0
Stromme Foundation,2020-12-31,158954,0,158954,1.0,158954,0,158954,1.0,1.0,1.0
"Mozambique, Government of",2020-12-31,196502,196502,0,0.0,0,0,0,0.0,0.0,0.0
Southern African Development Community,2020-12-31,8503380,8503380,0,0.0,0,0,0,0.0,0.0,0.0
East African Community Services,2020-12-31,8518534,8518534,0,0.0,0,0,0,0.0,0.0,0.0
"Gabon, Government of",2020-12-31,587590,587590,0,0.0,0,0,0,0.0,0.0,0.0
Jordan Humanitarian Fund,2020-12-31,1260056,0,1260056,1.0,1260056,0,1260056,1.0,1.0,1.0
Unilever,2020-12-31,1164009,0,1164009,1.0,1164009,0,1164009,1.0,1.0,1.0
COVID-19 Humanitarian Thematic Fund,2020-12-31,247164,0,247164,1.0,247164,0,247164,1.0,1.0,1.0
CARITAS,2020-12-31,29869,0,29869,1.0,29869,0,29869,1.0,1.0,1.0
GlaxoSmithKline,2020-12-31,346316,0,346316,1.0,346316,0,346316,1.0,1.0,1.0
Caritas Germany (DCV),2020-12-31,53544,0,53544,1.0,53544,0,53544,1.0,1.0,1.0
Syria Cross-border Humanitarian Fund,2020-12-31,1606662,0,1606662,1.0,1606662,0,1606662,1.0,1.0,1.0
