actor,date,implementer,ngo,status,paid_amount,total_amount
European Commission's Humanitarian Aid and Civil Protection Department,2017-12-12,Spanish Red Cross,False,commitment,0,59242
European Commission's Humanitarian Aid and Civil Protection Department,2018-04-20,French Red Cross,False,commitment,0,246914
European Commission's Humanitarian Aid and Civil Protection Department,2018-06-22,Stichting CARE Nederland,True,commitment,0,116144
European Commission's Humanitarian Aid and Civil Protection Department,2018-12-17,Danish Refugee Council,True,commitment,0,5688
European Commission's Humanitarian Aid and Civil Protection Department,2019-03-07,Danish Refugee Council,True,commitment,0,5688
European Commission's Humanitarian Aid and Civil Protection Department,2019-04-11,Agency for Technical Cooperation and Development,True,commitment,0,646717
European Commission's Humanitarian Aid and Civil Protection Department,2019-04-12,HOPE’87 – Hundreds of Original Projects for Employment,True,commitment,0,134680
European Commission's Humanitarian Aid and Civil Protection Department,2019-04-29,World Food Programme,False,commitment,0,112233
European Commission's Humanitarian Aid and Civil Protection Department,2019-05-08,Première Urgence Internationale,True,commitment,0,55741
European Commission's Humanitarian Aid and Civil Protection Department,2019-03-25,Cooperazione E Sviluppo - CESVI,True,commitment,0,571672
European Commission's Humanitarian Aid and Civil Protection Department,2019-04-17,United Nations Children's Fund,False,commitment,0,193649
European Commission's Humanitarian Aid and Civil Protection Department,2019-06-20,Handicap International / Humanity & Inclusion,True,commitment,0,4029477
European Commission's Humanitarian Aid and Civil Protection Department,2019-06-21,Oxfam Italia,True,commitment,0,3337
European Commission's Humanitarian Aid and Civil Protection Department,2019-07-10,Netherlands Red Cross,False,commitment,0,115493
European Commission's Humanitarian Aid and Civil Protection Department,2019-07-16,International Rescue Committee,True,commitment,0,682464
European Commission's Humanitarian Aid and Civil Protection Department,2019-07-25,Médicos del Mundo Spain,True,commitment,0,420454
European Commission's Humanitarian Aid and Civil Protection Department,2019-07-29,Danish Refugee Council,True,commitment,0,34091
European Commission's Humanitarian Aid and Civil Protection Department,2019-02-07,International Rescue Committee,True,commitment,0,1141553
European Commission's Humanitarian Aid and Civil Protection Department,2019-08-28,International Federation of Red Cross and Red Crescent Societies,False,commitment,0,352158
European Commission's Humanitarian Aid and Civil Protection Department,2019-12-12,Belgian Red Cross,False,commitment,0,2789540
European Commission's Humanitarian Aid and Civil Protection Department,2019-04-25,United Nations Children's Fund,False,commitment,0,478460
European Commission's Humanitarian Aid and Civil Protection Department,2020-03-02,Food & Agriculture Organization of the United Nations,False,commitment,0,1428571
European Commission's Humanitarian Aid and Civil Protection Department,2020-03-06,World Health Organization,False,commitment,0,33771838
European Commission's Humanitarian Aid and Civil Protection Department,2020-03-17,INTERSOS Humanitarian Aid Organization,True,commitment,0,1092299
European Commission's Humanitarian Aid and Civil Protection Department,2020-05-02,United Nations Children's Fund,False,paid,1216147,1216147
European Commission's Humanitarian Aid and Civil Protection Department,2020-03-23,ACT Alliance / DanChurchAid,True,commitment,0,3356171
European Commission's Humanitarian Aid and Civil Protection Department,2020-03-24,International Organization for Migration,False,commitment,0,2828054
European Commission's Humanitarian Aid and Civil Protection Department,2020-03-30,International Rescue Committee,True,commitment,0,3054299
European Commission's Humanitarian Aid and Civil Protection Department,2020-05-01,World Health Organization,False,commitment,0,9120521
European Commission's Humanitarian Aid and Civil Protection Department,2020-04-01,Danish Refugee Council,True,commitment,0,6694537
European Commission's Humanitarian Aid and Civil Protection Department,2020-04-29,United Nations Children's Fund,False,paid,1332395,1332395
European Commission's Humanitarian Aid and Civil Protection Department,2019-05-10,Médecins du Monde France,True,commitment,0,110375
European Commission's Humanitarian Aid and Civil Protection Department,2020-04-03,Première Urgence Internationale,True,commitment,0,1214128
European Commission's Humanitarian Aid and Civil Protection Department,2020-04-07,OXFAM Netherlands (NOVIB),True,commitment,275386,1326434
European Commission's Humanitarian Aid and Civil Protection Department,2019-04-18,International Federation of Red Cross and Red Crescent Societies,False,commitment,0,744809
European Commission's Humanitarian Aid and Civil Protection Department,2020-04-17,United Nations Children's Fund,False,commitment,0,1787556
European Commission's Humanitarian Aid and Civil Protection Department,2020-04-16,International Organization for Migration,False,commitment,0,3254322
European Commission's Humanitarian Aid and Civil Protection Department,2020-05-22,United Nations Children's Fund,False,paid,682314,682314
European Commission's Humanitarian Aid and Civil Protection Department,2020-05-21,United Nations Children's Fund,False,paid,376638,376638
European Commission's Humanitarian Aid and Civil Protection Department,2019-05-03,Danish Refugee Council,True,commitment,0,218341
European Commission's Humanitarian Aid and Civil Protection Department,2020-04-24,OXFAM Belgium,True,commitment,0,5207160
European Commission's Humanitarian Aid and Civil Protection Department,2019-08-05,Oficina Panamericana de la Salud,True,commitment,0,887637
European Commission's Humanitarian Aid and Civil Protection Department,2020-04-02,Alliance for International Medical Action,True,commitment,0,1765762
European Commission's Humanitarian Aid and Civil Protection Department,2020-05-05,Danish Refugee Council,True,commitment,1105588,1457854
European Commission's Humanitarian Aid and Civil Protection Department,2020-04-30,People in Need,True,commitment,0,1003775
European Commission's Humanitarian Aid and Civil Protection Department,2020-05-29,Save the Children,True,commitment,0,1992399
European Commission's Humanitarian Aid and Civil Protection Department,2020-05-08,Première Urgence Internationale,True,commitment,0,2208794
European Commission's Humanitarian Aid and Civil Protection Department,2020-05-13,United Nations High Commissioner for Refugees,False,commitment,0,17834419
European Commission's Humanitarian Aid and Civil Protection Department,2020-05-06,United Nations Population Fund,False,commitment,0,3887079
European Commission's Humanitarian Aid and Civil Protection Department,2019-06-14,Action Against Hunger,True,commitment,0,2292954
European Commission's Humanitarian Aid and Civil Protection Department,2020-05-20,International Committee of the Red Cross,False,commitment,0,2931596
European Commission's Humanitarian Aid and Civil Protection Department,2020-05-28,Norwegian Refugee Council,True,commitment,0,1248643
European Commission's Humanitarian Aid and Civil Protection Department,2020-01-13,,True,commitment,0,87523709
European Commission's Humanitarian Aid and Civil Protection Department,2020-06-25,,True,commitment,0,441501
European Commission's Humanitarian Aid and Civil Protection Department,2020-06-08,International Committee of the Red Cross,False,commitment,0,7036733
European Commission's Humanitarian Aid and Civil Protection Department,2020-06-18,United Nations Children's Fund,False,paid,1706485,1763368
European Commission's Humanitarian Aid and Civil Protection Department,2020-06-04,Danish Red Cross,False,commitment,0,113766
European Commission's Humanitarian Aid and Civil Protection Department,2020-06-10,International Medical Corps UK,True,commitment,0,2200858
European Commission's Humanitarian Aid and Civil Protection Department,2020-06-19,Medicos do Mundo,True,commitment,0,5633803
European Commission's Humanitarian Aid and Civil Protection Department,2020-06-29,French Red Cross,False,commitment,0,2234360
European Commission's Humanitarian Aid and Civil Protection Department,2019-04-09,Alliance for International Medical Action,True,commitment,0,298013
European Commission's Humanitarian Aid and Civil Protection Department,2020-07-07,Comitato Internationale per lo Sviluppo dei Popoli,True,commitment,0,1679731
European Commission's Humanitarian Aid and Civil Protection Department,2020-06-17,,True,commitment,0,2071668
European Commission's Humanitarian Aid and Civil Protection Department,2020-07-10,United Nations High Commissioner for Refugees,False,commitment,0,2639703
European Commission's Humanitarian Aid and Civil Protection Department,2019-05-28,International Organization for Migration,False,commitment,0,1715527
European Commission's Humanitarian Aid and Civil Protection Department,2020-02-19,,True,commitment,0,35281146
European Commission's Humanitarian Aid and Civil Protection Department,2020-04-20,Agency for Technical Cooperation and Development,True,commitment,0,306659
European Commission's Humanitarian Aid and Civil Protection Department,2019-12-19,Norwegian Refugee Council,True,commitment,0,56698
European Commission's Humanitarian Aid and Civil Protection Department,2019-12-17,Save the Children,True,commitment,0,1012101
European Commission's Humanitarian Aid and Civil Protection Department,2019-05-23,Stichting CARE Nederland,True,commitment,0,195095
European Commission's Humanitarian Aid and Civil Protection Department,2020-04-23,Agency for Technical Cooperation and Development,True,commitment,0,35262
European Commission's Humanitarian Aid and Civil Protection Department,2019-05-29,Handicap International / Humanity & Inclusion,True,commitment,0,221487
European Commission's Humanitarian Aid and Civil Protection Department,2019-06-11,Relief International,True,commitment,0,352308
European Commission's Humanitarian Aid and Civil Protection Department,2019-06-17,Save the Children,True,commitment,0,355450
European Commission's Humanitarian Aid and Civil Protection Department,2018-07-25,Deutsche Welthungerhilfe e.V. (German Agro Action),True,commitment,0,231481
European Commission's Humanitarian Aid and Civil Protection Department,2019-06-26,United Nations High Commissioner for Refugees,False,commitment,0,2780868
European Commission's Humanitarian Aid and Civil Protection Department,2019-05-14,United Nations Children's Fund,False,commitment,0,780378
European Commission's Humanitarian Aid and Civil Protection Department,2020-03-16,International Organization for Migration,False,commitment,0,1357466
European Commission's Humanitarian Aid and Civil Protection Department,2019-06-19,Alliance for International Medical Action,True,commitment,0,611791
European Commission's Humanitarian Aid and Civil Protection Department,2018-03-28,World Food Programme,False,paid,1135381,1154094
European Commission's Humanitarian Aid and Civil Protection Department,2020-01-31,Spanish Red Cross,False,commitment,0,78125
European Commission's Humanitarian Aid and Civil Protection Department,2019-03-20,OXFAM Netherlands (NOVIB),True,commitment,0,227531
European Commission's Humanitarian Aid and Civil Protection Department,2020-03-11,Concern Worldwide,True,commitment,0,1244344
European Commission's Humanitarian Aid and Civil Protection Department,2019-07-15,Luxembourg Red Cross,False,commitment,0,32751
European Commission's Humanitarian Aid and Civil Protection Department,2018-07-13,Care Germany,True,commitment,0,2083333
European Commission's Humanitarian Aid and Civil Protection Department,2020-06-30,,True,commitment,0,0
European Commission's Humanitarian Aid and Civil Protection Department,2020-07-14,Solidarités International,True,commitment,0,967915
European Commission's Humanitarian Aid and Civil Protection Department,2020-07-02,Save the Children,True,commitment,0,177273
European Commission's Humanitarian Aid and Civil Protection Department,2020-06-16,,True,commitment,0,0
European Commission's Humanitarian Aid and Civil Protection Department,2020-08-16,United Nations Children's Fund,False,paid,4712573,4712573
European Commission's Humanitarian Aid and Civil Protection Department,2020-07-06,International Organization for Migration,False,commitment,0,1704545
European Commission's Humanitarian Aid and Civil Protection Department,2019-04-04,Federation Handicap International. Direction Aide Humanitaire,True,commitment,0,224467
European Commission's Humanitarian Aid and Civil Protection Department,2019-05-13,Oxfam Intermon,True,commitment,0,9071
European Commission's Humanitarian Aid and Civil Protection Department,2020-07-20,Danish Red Cross,False,commitment,0,1022727
European Commission's Humanitarian Aid and Civil Protection Department,2019-10-16,World Health Organization,False,commitment,0,218818
European Commission's Humanitarian Aid and Civil Protection Department,2020-07-16,United Nations Development Programme,False,commitment,0,1079546
European Commission's Humanitarian Aid and Civil Protection Department,2020-07-23,Action Contre la Faim,True,commitment,0,1931818
European Commission's Humanitarian Aid and Civil Protection Department,2020-07-27,Finnish Red Cross,False,commitment,0,8970656
European Commission's Humanitarian Aid and Civil Protection Department,2020-07-29,Action Contre la Faim,True,commitment,0,6795280
European Commission's Humanitarian Aid and Civil Protection Department,2020-07-22,Save the Children,True,commitment,0,901646
European Commission's Humanitarian Aid and Civil Protection Department,2020-09-24,Première Urgence Internationale,True,paid,3494243,3494243
European Commission's Humanitarian Aid and Civil Protection Department,2020-07-30,Danish Red Cross,False,commitment,0,5909091
European Commission's Humanitarian Aid and Civil Protection Department,2020-08-03,Save the Children,True,commitment,0,5058824
European Commission's Humanitarian Aid and Civil Protection Department,2020-08-06,World Health Organization,False,commitment,0,1704545
European Commission's Humanitarian Aid and Civil Protection Department,2020-08-07,French Red Cross,False,commitment,0,2884085
European Commission's Humanitarian Aid and Civil Protection Department,2020-08-11,World Health Organization,False,commitment,0,5768170
European Commission's Humanitarian Aid and Civil Protection Department,2020-08-13,Cooperazione Internazionale - COOPI,True,commitment,0,15529412
European Commission's Humanitarian Aid and Civil Protection Department,2020-09-21,United Nations Children's Fund,False,paid,5924178,5924178
European Commission's Humanitarian Aid and Civil Protection Department,2020-08-25,Terre des Hommes International,True,commitment,0,4438163
European Commission's Humanitarian Aid and Civil Protection Department,2020-03-27,United Nations Children's Fund,False,commitment,0,565611
European Commission's Humanitarian Aid and Civil Protection Department,2020-08-31,GOAL,True,commitment,5282686,5388693
European Commission's Humanitarian Aid and Civil Protection Department,2020-08-17,Save the Children,True,commitment,0,2002356
European Commission's Humanitarian Aid and Civil Protection Department,2020-08-18,World Food Programme,False,commitment,0,1766784
European Commission's Humanitarian Aid and Civil Protection Department,2019-08-06,Norwegian Refugee Council,True,commitment,0,818777
European Commission's Humanitarian Aid and Civil Protection Department,2020-09-04,International Rescue Committee,True,commitment,1603325,3202851
European Commission's Humanitarian Aid and Civil Protection Department,2020-09-08,Save the Children,True,commitment,0,296912
European Commission's Humanitarian Aid and Civil Protection Department,2020-09-01,Agency for Technical Cooperation and Development,True,paid,627273,627273
European Commission's Humanitarian Aid and Civil Protection Department,2020-10-21,United Nations Children's Fund,False,paid,1857976,1857976
European Commission's Humanitarian Aid and Civil Protection Department,2020-09-03,United Nations Population Fund,False,commitment,0,2014218
European Commission's Humanitarian Aid and Civil Protection Department,2020-05-11,Handicap International / Humanity & Inclusion,True,commitment,0,550000
European Commission's Humanitarian Aid and Civil Protection Department,2019-04-30,ACT Alliance / Norwegian Church Aid,True,commitment,0,334456
European Commission's Humanitarian Aid and Civil Protection Department,2020-09-15,Adventist Development and Relief Agency,True,commitment,0,29621
European Commission's Humanitarian Aid and Civil Protection Department,2020-09-14,United Nations Children's Fund,False,commitment,0,888626
European Commission's Humanitarian Aid and Civil Protection Department,2020-09-18,Norwegian Refugee Council,True,commitment,0,1433649
European Commission's Humanitarian Aid and Civil Protection Department,2019-06-27,Norwegian Refugee Council,True,commitment,0,227531
European Commission's Humanitarian Aid and Civil Protection Department,2020-02-29,Cooperazione Internazionale - COOPI,True,paid,498880,498880
European Commission's Humanitarian Aid and Civil Protection Department,2019-05-02,Handicap International / Humanity & Inclusion,True,commitment,0,66890
European Commission's Humanitarian Aid and Civil Protection Department,2020-10-08,United Nations Children's Fund,False,commitment,3513191,5018904
European Commission's Humanitarian Aid and Civil Protection Department,2020-10-28,United Nations Children's Fund,False,paid,3527802,3527802
European Commission's Humanitarian Aid and Civil Protection Department,2020-10-13,International Medical Corps UK,True,commitment,0,938967
European Commission's Humanitarian Aid and Civil Protection Department,2020-09-07,United Nations Children's Fund,False,paid,751773,751773
European Commission's Humanitarian Aid and Civil Protection Department,2020-07-13,World Food Programme,False,paid,3359462,3359462
European Commission's Humanitarian Aid and Civil Protection Department,2019-06-07,Agency for Technical Cooperation and Development,True,commitment,0,33113
European Commission's Humanitarian Aid and Civil Protection Department,2019-08-14,Caritas Austria,True,commitment,0,1895206
European Commission's Humanitarian Aid and Civil Protection Department,2020-08-01,Caritas Switzerland,True,paid,204392,204392
European Commission's Humanitarian Aid and Civil Protection Department,2019-06-25,Handicap International / Humanity & Inclusion,True,commitment,0,28031
European Commission's Humanitarian Aid and Civil Protection Department,2020-11-27,OXFAM Belgium,True,commitment,0,881316
"Denmark, Government of",2018-04-01,World Health Organization,False,commitment,0,1657001
"Denmark, Government of",2020-03-20,International Federation of Red Cross and Red Crescent Societies,False,commitment,0,434000
"Denmark, Government of",2020-04-16,Adventist Development and Relief Agency,True,commitment,13157894,44118938
"Denmark, Government of",2020-05-06,United Nations Children's Fund,False,paid,6045500,6045500
"Denmark, Government of",2020-04-17,Danish Red Cross,False,commitment,0,285702
"Denmark, Government of",2020-04-20,World Health Organization,False,commitment,1213450,8490141
"Denmark, Government of",2020-03-26,Danish Red Cross,False,commitment,0,383995
"Denmark, Government of",2020-03-27,Mission Ost - DNK,True,commitment,0,219524
"Denmark, Government of",2020-03-29,OXFAM,True,commitment,0,488053
"Denmark, Government of",2020-03-30,Danish Red Cross,False,commitment,0,178914
"Denmark, Government of",2020-03-23,ACT Alliance / DanChurchAid,True,commitment,0,365959
"Denmark, Government of",2020-04-01,Danish Red Cross,False,commitment,0,236705
"Denmark, Government of",2020-04-02,Danish Red Cross,False,commitment,0,311454
"Denmark, Government of",2020-04-03,Danish Red Cross,False,commitment,0,247606
"Denmark, Government of",2020-04-08,Danish Red Cross,False,commitment,0,65405
"Denmark, Government of",2020-04-09,Danish Red Cross,False,commitment,0,70077
"Denmark, Government of",2020-04-07,Danish Red Cross,False,commitment,0,42046
"Denmark, Government of",2020-04-04,Danish Red Cross,False,commitment,0,77863
"Denmark, Government of",2020-04-24,ACT Alliance / DanChurchAid,True,commitment,0,560619
"Denmark, Government of",2020-04-27,OXFAM,True,commitment,0,98573
"Denmark, Government of",2020-05-05,ActionAid International,True,commitment,0,26583
"Denmark, Government of",2020-05-11,Save the Children,True,commitment,0,312167
"Denmark, Government of",2020-05-12,Adventist Development and Relief Agency,True,commitment,0,221306
"Denmark, Government of",2020-05-13,Save the Children,True,commitment,0,145539
"Denmark, Government of",2020-04-22,Adventist Development and Relief Agency,True,commitment,0,106003
"Denmark, Government of",2020-05-15,World Health Organization,False,commitment,0,2445377
"Denmark, Government of",2020-05-26,Save the Children,True,commitment,0,4815866
"Denmark, Government of",2020-05-28,Danish Refugee Council,True,commitment,0,2698794
"Denmark, Government of",2020-05-29,Danish Refugee Council,True,commitment,0,804719
"Denmark, Government of",2020-04-30,Mission Ost - DNK,True,commitment,0,120607
"Denmark, Government of",2020-06-01,Danish Refugee Council,True,paid,156548,156548
"Denmark, Government of",2020-06-04,ActionAid International,True,commitment,0,872951
"Denmark, Government of",2020-06-08,Danish Refugee Council,True,paid,398788,1226667
"Denmark, Government of",2020-06-09,ACT Alliance / DanChurchAid,True,commitment,0,79953
"Denmark, Government of",2020-06-15,ACT Alliance / DanChurchAid,True,commitment,0,940091
"Denmark, Government of",2020-06-18,United Nations Children's Fund,False,paid,2289028,2289028
"Denmark, Government of",2020-04-28,United Nations High Commissioner for Refugees,False,paid,14619883,14619883
"Denmark, Government of",2020-07-02,ACT Alliance / DanChurchAid,True,commitment,0,160830
"Denmark, Government of",2020-07-03,Adventist Development and Relief Agency,True,commitment,0,163302
"Denmark, Government of",2020-07-10,OXFAM,True,commitment,0,82468
"Denmark, Government of",2020-07-21,OXFAM,True,commitment,0,88241
"Denmark, Government of",2020-04-06,Plan International,True,paid,928553,928553
"Denmark, Government of",2020-07-30,United Nations Population Fund,False,paid,1944000,1944000
"Denmark, Government of",2020-08-03,Danish Red Cross,False,commitment,0,924629
"Denmark, Government of",2020-08-04,ACT Alliance / DanChurchAid,True,commitment,0,169036
"Denmark, Government of",2020-08-11,Danish Red Cross,False,commitment,0,93117
"Denmark, Government of",2020-08-12,Danish Red Cross,False,commitment,0,77880
"Denmark, Government of",2020-08-17,Danish Red Cross,False,commitment,0,507912
"Denmark, Government of",2020-08-07,OXFAM,True,commitment,0,91424
"Denmark, Government of",2020-08-13,OXFAM,True,commitment,0,67722
"Denmark, Government of",2020-09-07,ActionAid International,True,commitment,0,204360
"Denmark, Government of",2020-09-24,ACT Alliance / DanChurchAid,True,commitment,0,340602
"Denmark, Government of",2020-10-08,ACT Alliance / DanChurchAid,True,commitment,0,1694603
"Denmark, Government of",2020-09-23,Danish Red Cross,False,commitment,0,106438
"Denmark, Government of",2020-09-25,Danish Red Cross,False,commitment,0,514308
"Denmark, Government of",2020-10-07,ACT Alliance / DanChurchAid,True,commitment,0,84292
"Denmark, Government of",2020-10-18,ACT Alliance / DanChurchAid,True,commitment,0,195557
"Denmark, Government of",2020-06-30,World Food Programme,False,commitment,1002054,7060254
"Denmark, Government of",2020-11-02,ACT Alliance / DanChurchAid,True,commitment,0,201633
"Denmark, Government of",2020-10-29,Danish Refugee Council,True,commitment,0,83700
"Denmark, Government of",2020-06-16,Save the Children,True,paid,488516,488516
"Denmark, Government of",2020-11-24,OXFAM,True,commitment,0,70928
"Canada, Government of",2020-03-26,International Organization for Migration,False,paid,2709910,2709910
"Canada, Government of",2020-03-01,World Health Organization,False,commitment,0,338445
"Canada, Government of",2020-03-19,International Organization for Migration,False,paid,290909,290909
"Canada, Government of",2020-04-09,United Nations Relief and Works Agency for Palestine Refugees in the Near East,False,paid,1073729,1073729
"Canada, Government of",2020-04-08,Save the Children,True,paid,1725518,1725518
"Canada, Government of",2020-04-07,World Health Organization,False,paid,41702292,48144669
"Canada, Government of",2018-12-10,World Food Programme,False,paid,1507159,1507159
"Canada, Government of",2020-05-18,Food & Agriculture Organization of the United Nations,False,paid,538406,538406
"Canada, Government of",2020-06-15,United Nations Children's Fund,False,paid,308418,308418
"Canada, Government of",2020-05-01,Norwegian Refugee Council,True,paid,71788,71788
"Canada, Government of",2020-03-31,World Food Programme,False,paid,1163636,1163636
"Canada, Government of",2020-07-01,United Nations Children's Fund,False,paid,50343,50343
"Canada, Government of",2020-07-14,World Health Organization,False,commitment,0,629164
"Canada, Government of",2020-07-02,United Nations Children's Fund,False,paid,102799,102799
"Canada, Government of",2020-07-20,World Health Organization,False,commitment,0,1563604
"Canada, Government of",2020-09-09,World Health Organization,False,commitment,0,1123596
"Canada, Government of",2020-09-18,World Health Organization,False,commitment,0,144215
"Canada, Government of",2020-07-15,International Rescue Committee,True,paid,73220,73220
"Canada, Government of",2020-08-12,United Nations Children's Fund,False,paid,374125,374125
"Canada, Government of",2020-09-14,United Nations Children's Fund,False,paid,74072,74072
"Canada, Government of",2020-09-01,United Nations Children's Fund,False,paid,73684,73684
"Canada, Government of",2020-07-17,World Food Programme,False,paid,848245,848245
"Canada, Government of",2020-10-20,United Nations Children's Fund,False,paid,6065201,6065201
"Canada, Government of",2020-09-23,World Health Organization,False,paid,185490,185490
"Canada, Government of",2020-11-03,United Nations Children's Fund,False,paid,69291,69291
"Canada, Government of",2020-12-01,Food & Agriculture Organization of the United Nations,False,paid,2311248,2311248
"Canada, Government of",2020-12-03,OXFAM,True,commitment,0,1307894
"Canada, Government of",2020-11-09,World Health Organization,False,commitment,0,144299
"Germany, Government of",2019-11-27,World Food Programme,False,paid,555556,555556
"Germany, Government of",2020-09-18,World Health Organization,False,commitment,0,333564342
"Germany, Government of",2018-08-24,Malteser International Order of Malta World Relief,True,commitment,0,457143
"Germany, Government of",2020-04-15,World Health Organization,False,commitment,0,2183406
"Germany, Government of",2020-04-27,United Nations High Commissioner for Refugees,False,paid,39193729,39193729
"Germany, Government of",2020-06-29,Deutsche Welthungerhilfe e.V. (German Agro Action),True,commitment,45506257,58020477
"Germany, Government of",2020-04-29,Office for the Coordination of Humanitarian Affairs,False,commitment,0,146996685
"Germany, Government of",2020-09-15,World Food Programme,False,paid,35545024,35545024
"Germany, Government of",2020-05-08,World Health Organization,False,commitment,0,59152572
