date,total_cases_ghrp,total_deaths_ghrp
2020-02-24,,
2020-03-02,,
2020-03-09,,
2020-03-16,,
2020-03-23,,
2020-03-30,74968.0,
2020-04-06,139809.0,
2020-04-13,224555.0,
2020-04-20,317477.0,
2020-04-27,433058.0,
2020-05-04,571913.0,
2020-05-11,740292.0,
2020-05-18,960067.0,
2020-05-25,1250590.0,
2020-06-01,1622381.0,
2020-06-08,2045176.0,
2020-06-15,2499748.0,
2020-06-22,2996596.0,
2020-06-29,3542666.0,
2020-07-06,4088016.0,
2020-07-13,4650919.0,
2020-07-20,5204666.0,
2020-07-27,5868419.0,229551.0
2020-08-03,6557531.0,250142.0
2020-08-10,7263663.0,271500.0
2020-08-17,7984333.0,295299.0
2020-08-24,8674377.0,315682.0
2020-08-31,9372554.0,334614.0
2020-09-07,10003510.0,358234.0
2020-09-14,10609831.0,375706.0
2020-09-21,11222664.0,392353.0
2020-09-28,11819863.0,410058.0
2020-10-05,12430078.0,432470.0
2020-10-12,13039754.0,449113.0
2020-10-19,13617751.0,464961.0
2020-10-26,14255605.0,481701.0
2020-11-02,14894179.0,498340.0
2020-11-09,15524090.0,515805.0
2020-11-16,16265992.0,534292.0
2020-11-23,17056959.0,552960.0
2020-11-30,18074963.0,572637.0
2020-12-07,19148566.0,592206.0
2020-12-14,20971044.0,611741.0
2020-12-21,22008901.0,632232.0
2020-12-28,22854885.0,651183.0
2020-12-30,23161604.0,658737.0
2020-02-03,,
2020-02-10,,
2020-02-17,,
2020-01-06,0.0,0.0
2020-01-13,0.0,0.0
2020-01-20,0.0,0.0
2020-01-27,0.0,0.0
