date,total_cases_ghrp,total_deaths_ghrp
2020-02-24,70.0,13.0
2020-03-02,1575.0,67.0
2020-03-09,7481.0,246.0
2020-03-16,16761.0,888.0
2020-03-23,33655.0,2029.0
2020-03-30,75114.0,3581.0
2020-04-06,140177.0,6210.0
2020-04-13,225221.0,9687.0
2020-04-20,318504.0,13993.0
2020-04-27,434762.0,19405.0
2020-05-04,574808.0,26600.0
2020-05-11,744979.0,35418.0
2020-05-18,967140.0,45949.0
2020-05-25,1261766.0,58367.0
2020-06-01,1638134.0,71447.0
2020-06-08,2066096.0,87975.0
2020-06-15,2525279.0,104978.0
2020-06-22,3025743.0,125098.0
2020-06-29,3573894.0,144834.0
2020-07-06,4121196.0,164227.0
2020-07-13,4685514.0,184798.0
2020-07-20,5240159.0,205935.0
2020-07-27,5904672.0,230822.0
2020-08-03,6594268.0,251432.0
2020-08-10,7300816.0,272829.0
2020-08-17,8022000.0,296677.0
2020-08-24,8712422.0,317072.0
2020-08-31,9410713.0,336017.0
2020-09-07,10042004.0,359650.0
2020-09-14,10648603.0,377133.0
2020-09-21,11261738.0,393799.0
2020-09-28,11859102.0,411516.0
2020-10-05,12469500.0,433938.0
2020-10-12,13079624.0,450594.0
2020-10-19,13658038.0,466460.0
2020-10-26,14296542.0,483221.0
2020-11-02,14935812.0,499884.0
2020-11-09,15566387.0,517382.0
2020-11-16,16309460.0,535927.0
2020-11-23,17101947.0,554662.0
2020-11-30,18121237.0,574432.0
2020-12-07,19196082.0,594106.0
2020-12-14,21019762.0,613710.0
2020-12-21,22058914.0,634314.0
2020-12-28,22906165.0,653357.0
2020-12-30,23213009.0,660918.0
2020-02-03,2.0,1.0
2020-02-10,3.0,1.0
2020-02-17,4.0,1.0
2020-01-06,0.0,0.0
2020-01-13,0.0,0.0
2020-01-20,0.0,0.0
2020-01-27,0.0,0.0
