date,total_cases_ghrp,total_deaths_ghrp
2020-03-23,617.0,23.0
2020-03-30,1382.0,68.0
2020-04-06,3370.0,157.0
2020-04-13,5460.0,272.0
2020-04-20,8993.0,447.0
2020-04-27,13002.0,623.0
2020-05-04,18818.0,867.0
2020-05-11,27209.0,1203.0
2020-05-18,36606.0,1499.0
2020-05-25,50027.0,1832.0
2020-06-01,69085.0,2365.0
2020-06-08,88910.0,2868.0
2020-06-15,112148.0,3624.0
2020-06-22,136308.0,4549.0
2020-06-29,157695.0,5375.0
2020-07-06,176750.0,6143.0
2020-07-13,198339.0,6962.0
2020-07-20,220728.0,7711.0
2020-07-27,243748.0,8304.0
2020-08-03,265213.0,8959.0
2020-08-10,284613.0,9487.0
2020-08-17,307304.0,10013.0
2020-08-24,332311.0,10503.0
2020-08-31,354627.0,10932.0
2020-09-07,375975.0,11394.0
2020-09-14,394236.0,11797.0
2020-09-21,412547.0,12194.0
2020-09-28,428954.0,12579.0
2020-10-05,446015.0,12874.0
2020-10-12,466215.0,13176.0
2020-10-19,487234.0,13539.0
2020-10-26,510189.0,13914.0
2020-11-02,533372.0,14301.0
2020-11-09,557959.0,14962.0
2020-11-16,582491.0,15421.0
2020-11-23,608500.0,15949.0
2020-11-30,634396.0,16374.0
2020-12-07,661983.0,16837.0
2020-12-14,692285.0,17360.0
2020-12-21,722719.0,17950.0
2020-12-28,754495.0,18834.0
2020-12-30,764234.0,19037.0
2020-03-16,178.0,3.0
2020-03-09,59.0,1.0
2020-02-17,1.0,0.0
2020-02-24,1.0,0.0
2020-03-02,3.0,0.0
