date,total_cases_ghrp,total_deaths_ghrp
2020-02-24,67.0,13.0
2020-03-02,1549.0,67.0
2020-03-09,7319.0,244.0
2020-03-16,15702.0,878.0
2020-03-23,26806.0,1920.0
2020-03-30,57485.0,3103.0
2020-04-06,101119.0,4728.0
2020-04-13,149352.0,6466.0
2020-04-20,197648.0,8235.0
2020-04-27,237277.0,9868.0
2020-05-04,275008.0,11292.0
2020-05-11,319754.0,12515.0
2020-05-18,366593.0,13713.0
2020-05-25,421750.0,14866.0
2020-06-01,489538.0,16309.0
2020-06-08,582187.0,18084.0
2020-06-15,686744.0,20319.0
2020-06-22,794870.0,23168.0
2020-06-29,896527.0,26073.0
2020-07-06,1001175.0,29105.0
2020-07-13,1097906.0,32548.0
2020-07-20,1184933.0,35706.0
2020-07-27,1270411.0,38692.0
2020-08-03,1365159.0,41374.0
2020-08-10,1469435.0,43863.0
2020-08-17,1578226.0,46520.0
2020-08-24,1690158.0,48987.0
2020-08-31,1795778.0,51537.0
2020-09-07,1895635.0,54020.0
2020-09-14,2007495.0,56993.0
2020-09-21,2123233.0,59990.0
2020-09-28,2241352.0,63137.0
2020-10-05,2365023.0,66466.0
2020-10-12,2490658.0,70127.0
2020-10-19,2622416.0,74009.0
2020-10-26,2768360.0,78270.0
2020-11-02,2944265.0,83021.0
2020-11-09,3140165.0,88328.0
2020-11-16,3361703.0,93970.0
2020-11-23,3622088.0,100409.0
2020-11-30,4030596.0,106650.0
2020-12-07,4462885.0,112302.0
2020-12-14,5635206.0,117461.0
2020-12-21,5958023.0,122461.0
2020-12-28,6201417.0,126939.0
2020-12-30,6268595.0,128212.0
2020-02-03,2.0,1.0
2020-02-10,3.0,1.0
2020-02-17,3.0,1.0
