date,total_cases_ghrp,total_deaths_ghrp
2020-03-09,1.0,0
2020-03-16,7.0,1.0
2020-03-23,73.0,3.0
2020-03-30,548.0,13.0
2020-04-06,1319.0,38.0
2020-04-13,3102.0,93.0
2020-04-20,5710.0,151.0
2020-04-27,9009.0,220.0
2020-05-04,12331.0,303.0
2020-05-11,15648.0,408.0
2020-05-18,18616.0,535.0
2020-05-25,21245.0,623.0
2020-06-01,24562.0,724.0
2020-06-08,28077.0,805.0
2020-06-15,32536.0,911.0
2020-06-22,38056.0,1022.0
2020-06-29,44538.0,1161.0
2020-07-06,50053.0,1278.0
2020-07-13,55285.0,1415.0
2020-07-20,60767.0,1517.0
2020-07-27,67096.0,1636.0
2020-08-03,74781.0,1762.0
2020-08-10,83812.0,1950.0
2020-08-17,95007.0,2122.0
2020-08-24,109234.0,2335.0
2020-08-31,124132.0,2605.0
2020-09-07,141424.0,2930.0
2020-09-14,160679.0,3273.0
2020-09-21,182900.0,3652.0
2020-09-28,206579.0,4082.0
2020-10-05,236329.0,4530.0
2020-10-12,272671.0,5143.0
2020-10-19,312287.0,5834.0
2020-10-26,359348.0,6641.0
2020-11-02,414567.0,7584.0
2020-11-09,483153.0,8812.0
2020-11-16,561581.0,10002.0
2020-11-23,653442.0,11423.0
2020-11-30,752343.0,12731.0
2020-12-07,843898.0,14208.0
2020-12-14,925321.0,15792.0
2020-12-21,998678.0,17293.0
2020-12-28,1061074.0,18555.0
2020-12-30,1076880.0,19058.0
