date,total_cases_ghrp,total_deaths_ghrp
2020-03-09,21.0,0
2020-03-16,187.0,1.0
2020-03-23,1172.0,15.0
2020-03-30,3411.0,99.0
2020-04-06,6851.0,276.0
2020-04-13,12346.0,610.0
2020-04-20,19036.0,1090.0
2020-04-27,28732.0,1903.0
2020-05-04,41295.0,2842.0
2020-05-11,56703.0,4246.0
2020-05-18,75599.0,6084.0
2020-05-25,99386.0,8448.0
2020-06-01,128271.0,11076.0
2020-06-08,162079.0,15063.0
2020-06-15,201265.0,18729.0
2020-06-22,246855.0,23882.0
2020-06-29,294586.0,28602.0
2020-07-06,350957.0,32837.0
2020-07-13,412010.0,37509.0
2020-07-20,476502.0,41825.0
2020-07-27,544416.0,46708.0
2020-08-03,612481.0,51037.0
2020-08-10,673516.0,56430.0
2020-08-17,732582.0,60804.0
2020-08-24,786470.0,64852.0
2020-08-31,838527.0,68785.0
2020-09-07,894418.0,72505.0
2020-09-14,947031.0,76101.0
2020-09-21,994344.0,79054.0
2020-09-28,1043500.0,82209.0
2020-10-05,1115476.0,87749.0
2020-10-12,1163911.0,90056.0
2020-10-19,1213123.0,92647.0
2020-10-26,1268941.0,95684.0
2020-11-02,1321679.0,98815.0
2020-11-09,1376292.0,102134.0
2020-11-16,1431142.0,105938.0
2020-11-23,1491839.0,109198.0
2020-11-30,1578938.0,113429.0
2020-12-07,1673212.0,117812.0
2020-12-14,1775419.0,122337.0
2020-12-21,1877673.0,126976.0
2020-12-28,1973375.0,131656.0
2020-12-30,2011503.0,133814.0
2020-03-02,6.0,0
2020-01-06,0.0,0
2020-01-13,0.0,0
2020-01-20,0.0,0
2020-01-27,0.0,0
2020-02-03,0.0,0
2020-02-10,0.0,0
2020-02-17,0.0,0
2020-02-24,0.0,0
