date,total_cases_ghrp,total_deaths_ghrp
2020-02-03,0,0
2020-02-10,0,0
2020-02-17,0,0
2020-02-24,2.0,0
2020-03-02,17.0,0
2020-03-09,81.0,1.0
2020-03-16,687.0,5.0
2020-03-23,4987.0,68.0
2020-03-30,12288.0,298.0
2020-04-06,27518.0,1011.0
2020-04-13,54961.0,2246.0
2020-04-20,87117.0,4070.0
2020-04-27,146742.0,6791.0
2020-05-04,227356.0,11296.0
2020-05-11,325665.0,17046.0
2020-05-18,469726.0,24118.0
2020-05-25,669358.0,32598.0
2020-06-01,926678.0,40973.0
2020-06-08,1204843.0,51155.0
2020-06-15,1492586.0,61395.0
2020-06-22,1809654.0,72477.0
2020-06-29,2180548.0,83623.0
2020-07-06,2542261.0,94864.0
2020-07-13,2921974.0,106364.0
2020-07-20,3297229.0,119176.0
2020-07-27,3779001.0,135482.0
2020-08-03,4276634.0,148300.0
2020-08-10,4789440.0,161099.0
2020-08-17,5308881.0,177218.0
2020-08-24,5794249.0,190395.0
2020-08-31,6297649.0,202158.0
2020-09-07,6734552.0,218801.0
2020-09-14,7139162.0,228969.0
2020-09-21,7548714.0,238909.0
2020-09-28,7938717.0,249509.0
2020-10-05,8306657.0,262319.0
2020-10-12,8686169.0,272092.0
2020-10-19,9022978.0,280431.0
2020-10-26,9389704.0,288712.0
2020-11-02,9721929.0,296163.0
2020-11-09,10008818.0,303146.0
2020-11-16,10372543.0,310596.0
2020-11-23,10726078.0,317683.0
2020-11-30,11124964.0,325248.0
2020-12-07,11554104.0,332947.0
2020-12-14,11991531.0,340760.0
2020-12-21,12501821.0,349634.0
2020-12-28,12915804.0,357373.0
2020-12-30,13091797.0,360797.0
