date,all_total,all_committed,all_paid
2020-01-06,30537153,6188476,24348677
2020-01-13,30702537,6188476,24514061
2020-01-20,30702537,6188476,24514061
2020-01-27,31128498,6188476,24940022
2020-02-03,41648625,15789976,25858649
2020-02-10,43909431,16110290,27799141
2020-02-17,44122865,16188057,27934808
2020-02-24,51810322,18256234,33554088
2020-03-02,74441987,37293518,37148469
2020-03-09,94504503,56244831,38259672
2020-03-16,203734752,147186083,56548669
2020-03-23,289140896,149999005,139141891
2020-03-30,357176421,171851586,185324835
2020-04-06,576296194,310500899,265795295
2020-04-13,809875153,449165057,360710096
2020-04-20,1004482924,581753189,422729735
2020-04-27,1182861272,649916587,532944685
2020-05-04,1435663524,818543527,617119997
2020-05-11,1559812647,884536786,675275861
2020-05-18,1673590912,945097470,728493442
2020-05-25,1891175420,989684758,901490662
2020-06-01,2089542870,1017320497,1072222373
2020-06-08,2359379965,1160545231,1198834734
2020-06-15,2488953547,1215130461,1273823086
2020-06-22,2766692916,1428990032,1337702884
2020-06-29,3076875186,1556095943,1520779243
2020-07-06,3238818281,1655252378,1583565903
2020-07-13,3411893653,1772496030,1639397623
2020-07-20,3638452345,1838484145,1799968200
2020-07-27,3790877488,1956010166,1834867322
2020-08-03,3881532013,2028384301,1853147712
2020-08-10,4122352622,2222828417,1899524205
2020-08-17,4169682935,2239526457,1930156478
2020-08-24,4240442202,2255404571,1985037631
2020-08-31,4299156624,2270438828,2028717796
2020-09-07,4393325937,2299085123,2094240814
2020-09-14,4575927504,2451809866,2124117638
2020-09-21,5194870552,2814974592,2379895960
2020-09-28,5220132536,2834424501,2385708035
2020-10-05,5361243972,2891691092,2469552880
2020-10-12,5496231726,2914677981,2581553745
2020-10-19,5515033581,2925660080,2589373501
2020-10-26,5549621304,2933195719,2616425585
2020-11-02,5576844060,2945282105,2631561955
2020-11-09,5683437001,2969000473,2714436528
2020-11-16,5704548423,2978764656,2725783767
2020-11-23,5796930782,3069705533,2727225249
2020-11-30,5838597084,3101617027,2736980057
2020-12-07,5876035109,3126884547,2749150562
2020-12-14,5884050376,3129990879,2754059497
2020-12-21,5896576124,3141966621,2754609503
2020-12-28,5898182786,3141966621,2756216165
2021-01-04,5898182786,3141966621,2756216165
2021-01-11,5898182786,3141966621,2756216165
2021-01-18,5898182786,3141966621,2756216165
2020-12-31,5898182786,3141966621,2756216165
2020-12-30,5898182786,3141966621,2756216165
